bnumber	dbname	dbid
b0052	ECOCYC	EG10691
b0052	GeneID	944919
b0053	UniProtKB/Swiss-Prot	P0ABZ6
b0053	ASAP	ABE-0000180
b0053	ECOCYC	EG10985
b0053	GeneID	944812
b0054	UniProtKB/Swiss-Prot	P31554
b0054	ASAP	ABE-0000183
b0054	ECOCYC	EG11569
b0054	GeneID	945011
b0055	UniProtKB/Swiss-Prot	P31680
b0055	ASAP	ABE-0000187
b0055	ECOCYC	EG11570
b0055	GeneID	948992
b0056	UniProtKB/Swiss-Prot	P39220
b0056	ASAP	ABE-0000192
b0056	ECOCYC	EG12610
b0056	GeneID	945039
b0057	UniProtKB/Swiss-Prot	P39221
b0057	ASAP	ABE-0000194
b0057	ECOCYC	EG12611
b0057	GeneID	38094933
b0058	UniProtKB/Swiss-Prot	P0AA37
b0058	ASAP	ABE-0000196
b0058	ECOCYC	EG12609
b0058	GeneID	946262
b0059	UniProtKB/Swiss-Prot	P60240
b0059	ASAP	ABE-0000198
b0059	ECOCYC	EG11083
b0059	GeneID	948523
b0060	UniProtKB/Swiss-Prot	P21189
b0060	ASAP	ABE-0000202
b0060	ECOCYC	EG10747
b0060	GeneID	944779
b0061	UniProtKB/Swiss-Prot	P08203
b0061	ASAP	ABE-0000209
b0061	ECOCYC	EG10055
b0061	GeneID	945294
b0062	UniProtKB/Swiss-Prot	P08202
b0062	ASAP	ABE-0000221
b0062	ECOCYC	EG10052
b0062	GeneID	947511
b0063	UniProtKB/Swiss-Prot	P08204
b0063	ASAP	ABE-0000223
b0063	ECOCYC	EG10053
b0063	GeneID	946017
b0064	UniProtKB/Swiss-Prot	P0A9E0
b0064	ASAP	ABE-0000236
b0064	ECOCYC	EG10054
b0064	GeneID	944780
b0065	UniProtKB/Swiss-Prot	P30149
b0065	ASAP	ABE-0000241
b0065	ECOCYC	EG11571
b0065	GeneID	944783
b0066	UniProtKB/Swiss-Prot	P31548
b0066	ASAP	ABE-0000244
b0066	ECOCYC	EG11572
b0066	GeneID	944785
b0067	UniProtKB/Swiss-Prot	P31549
b0067	ASAP	ABE-0000246
b0067	ECOCYC	EG11573
b0067	GeneID	944784
b0068	UniProtKB/Swiss-Prot	P31550
b0068	ASAP	ABE-0000249
b0068	ECOCYC	EG11574
b0068	GeneID	946306
b0069	UniProtKB/Swiss-Prot	P33595
b0069	ASAP	ABE-0000251
b0069	ECOCYC	EG12094
b0069	GeneID	944788
b4662	UniProtKB/Swiss-Prot	C1P5Z7
b4662	ECOCYC	G0-10617
b4662	GeneID	7751624
b0070	UniProtKB/Swiss-Prot	P31675
b0070	ASAP	ABE-0000257
b0070	ECOCYC	EG11754
b0070	GeneID	944793
b0071	UniProtKB/Swiss-Prot	P30126
b0071	ASAP	ABE-0000259
b0071	ECOCYC	EG11575
b0071	GeneID	945642
b0072	UniProtKB/Swiss-Prot	P0A6A6
b0072	ASAP	ABE-0000261
b0072	ECOCYC	EG11576
b0072	GeneID	945076
b0073	UniProtKB/Swiss-Prot	P30125
b0073	ASAP	ABE-0000265
b0073	ECOCYC	EG11577
b0073	GeneID	944798
b0074	UniProtKB/Swiss-Prot	P09151
b0074	ASAP	ABE-0000267
b0074	ECOCYC	EG11226
b0074	GeneID	947465
b0075	UniProtKB/Swiss-Prot	P0AD79
b0075	ASAP	ABE-0000269
b0075	ECOCYC	EG11280
b0075	GeneID	946072
b0076	UniProtKB/Swiss-Prot	P10151
b0076	ASAP	ABE-0000280
b0076	ECOCYC	EG10531
b0076	GeneID	949034
b4726	UniProtKB/Swiss-Prot	P0DPM5
b4726	ECOCYC	G0-16721
b4726	GeneID	38094934
b0077	UniProtKB/Swiss-Prot	P00893
b0077	ASAP	ABE-0000290
b0077	ECOCYC	EG10500
b0077	GeneID	948793
b0078	UniProtKB/Swiss-Prot	P00894
b0078	ASAP	ABE-0000294
b0078	ECOCYC	EG10499
b0078	GeneID	947267
b0080	UniProtKB/Swiss-Prot	P0ACP1
b0080	ASAP	ABE-0000299
b0080	ECOCYC	EG10338
b0080	GeneID	944804
b0081	UniProtKB/Swiss-Prot	P22186
b0081	ASAP	ABE-0000302
b0081	ECOCYC	EG11084
b0081	GeneID	944810
b0082	UniProtKB/Swiss-Prot	P60390
b0082	ASAP	ABE-0000304
b0082	ECOCYC	EG11085
b0082	GeneID	944806
b0083	UniProtKB/Swiss-Prot	P0AEN4
b0083	ASAP	ABE-0000306
b0083	ECOCYC	EG11086
b0083	GeneID	944803
b0084	UniProtKB/Swiss-Prot	P0AD68
b0084	ASAP	ABE-0000309
b0084	ECOCYC	EG10341
b0084	GeneID	944799
b0085	UniProtKB/Swiss-Prot	P22188
b0085	ASAP	ABE-0000311
b0085	ECOCYC	EG10621
b0085	GeneID	944791
b0086	UniProtKB/Swiss-Prot	P11880
b0086	ASAP	ABE-0000313
b0086	ECOCYC	EG10622
b0086	GeneID	944813
b0087	UniProtKB/Swiss-Prot	P0A6W3
b0087	ASAP	ABE-0000316
b0087	ECOCYC	EG10604
b0087	GeneID	944814
b0088	UniProtKB/Swiss-Prot	P14900
b0088	ASAP	ABE-0000318
b0088	ECOCYC	EG10620
b0088	GeneID	944818
b0089	UniProtKB/Swiss-Prot	P0ABG4
b0089	ASAP	ABE-0000320
b0089	ECOCYC	EG10344
b0089	GeneID	946322
b0090	UniProtKB/Swiss-Prot	P17443
b0090	ASAP	ABE-0000322
b0090	ECOCYC	EG10623
b0090	GeneID	946321
b0091	UniProtKB/Swiss-Prot	P17952
b0091	ASAP	ABE-0000324
b0091	ECOCYC	EG10619
b0091	GeneID	946153
b0092	UniProtKB/Swiss-Prot	P07862
b0092	ASAP	ABE-0000326
b0092	ECOCYC	EG10214
b0092	GeneID	946324
b0093	UniProtKB/Swiss-Prot	P06136
b0093	ASAP	ABE-0000329
b0093	ECOCYC	EG10342
b0093	GeneID	944823
b0094	UniProtKB/Swiss-Prot	P0ABH0
b0094	ASAP	ABE-0000331
b0094	ECOCYC	EG10339
b0094	GeneID	944778
b0095	UniProtKB/Swiss-Prot	P0A9A6
b0095	ASAP	ABE-0000333
b0095	ECOCYC	EG10347
b0095	GeneID	944786
b0096	UniProtKB/Swiss-Prot	P0A725
b0096	ASAP	ABE-0000336
b0096	ECOCYC	EG10265
b0096	GeneID	944816
b0097	UniProtKB/Swiss-Prot	P62395
b0097	ASAP	ABE-0000340
b0097	ECOCYC	EG11087
b0097	GeneID	944831
b0098	UniProtKB/Swiss-Prot	P10408
b0098	ASAP	ABE-0000343
b0098	ECOCYC	EG10936
b0098	GeneID	944821
b0099	UniProtKB/Swiss-Prot	P08337
b0099	ASAP	ABE-0000346
b0099	ECOCYC	EG10626
b0099	GeneID	944824
b0101	UniProtKB/Swiss-Prot	P0A8H8
b0101	ASAP	ABE-0000351
b0101	ECOCYC	EG12314
b0101	GeneID	945630
b0102	UniProtKB/Swiss-Prot	P36680
b0102	ASAP	ABE-0000355
b0102	ECOCYC	EG12313
b0102	GeneID	944873
b0103	UniProtKB/Swiss-Prot	P0A6I9
b0103	ASAP	ABE-0000357
b0103	ECOCYC	EG12312
b0103	GeneID	949060
b4727	UniProtKB/Swiss-Prot	P0DPM6
b4727	ECOCYC	G0-16722
b4727	GeneID	38094935
b0104	UniProtKB/Swiss-Prot	P60560
b0104	ASAP	ABE-0000362
b0104	ECOCYC	EG10422
b0104	GeneID	948986
b0106	UniProtKB/Swiss-Prot	P36646
b0106	ASAP	ABE-0000366
b0106	ECOCYC	EG11798
b0106	GeneID	945806
b0107	UniProtKB/Swiss-Prot	P36645
b0107	ASAP	ABE-0000370
b0107	ECOCYC	EG12106
b0107	GeneID	947481
b0108	UniProtKB/Swiss-Prot	P36647
b0108	ASAP	ABE-0000372
b0108	ECOCYC	EG12107
b0108	GeneID	945817
b0109	UniProtKB/Swiss-Prot	P30011
b0109	ASAP	ABE-0000374
b0109	ECOCYC	EG11546
b0109	GeneID	948869
b0110	UniProtKB/Swiss-Prot	P13016
b0110	ASAP	ABE-0000380
b0110	ECOCYC	EG10041
b0110	GeneID	948877
b0111	UniProtKB/Swiss-Prot	P0AE14
b0111	ASAP	ABE-0000382
b0111	ECOCYC	EG10042
b0111	GeneID	946678
b0112	UniProtKB/Swiss-Prot	P15993
b0112	ASAP	ABE-0000384
b0112	ECOCYC	EG10084
b0112	GeneID	946018
b0113	UniProtKB/Swiss-Prot	P0ACL9
b0113	ASAP	ABE-0000394
b0113	ECOCYC	EG11088
b0113	GeneID	944827
b0114	UniProtKB/Swiss-Prot	P0AFG8
b0114	ASAP	ABE-0000397
b0114	ECOCYC	EG10024
b0114	GeneID	944834
b0115	UniProtKB/Swiss-Prot	P06959
b0115	ASAP	ABE-0000400
b0115	ECOCYC	EG10025
b0115	GeneID	944794
b0116	UniProtKB/Swiss-Prot	P0A9P0
b0116	ASAP	ABE-0000404
b0116	ECOCYC	EG10543
b0116	GeneID	944854
b0117	UniProtKB/Swiss-Prot	P36682
b0117	ASAP	ABE-0000406
b0117	ECOCYC	EG12315
b0117	GeneID	944868
b0118	UniProtKB/Swiss-Prot	P36683
b0118	ASAP	ABE-0000411
b0118	ECOCYC	EG12316
b0118	GeneID	944864
b0119	UniProtKB/Swiss-Prot	P0A8E5
b0119	ASAP	ABE-0000414
b0119	ECOCYC	EG12605
b0119	GeneID	944809
b0120	UniProtKB/Swiss-Prot	P0A7F6
b0120	ASAP	ABE-0000416
b0120	ECOCYC	EG10962
b0120	GeneID	947719
b0121	UniProtKB/Swiss-Prot	P09158
b0121	ASAP	ABE-0000418
b0121	ECOCYC	EG10963
b0121	GeneID	947726
b0122	UniProtKB/Swiss-Prot	P0AA95
b0122	ASAP	ABE-0000423
b0122	ECOCYC	EG11089
b0122	GeneID	948472
b0123	UniProtKB/Swiss-Prot	P36649
b0123	ASAP	ABE-0000430
b0123	ECOCYC	EG12318
b0123	GeneID	947736
b0124	UniProtKB/Swiss-Prot	P15877
b0124	ASAP	ABE-0000433
b0124	ECOCYC	EG10369
b0124	GeneID	944830
b0125	UniProtKB/Swiss-Prot	P0A9M2
b0125	ASAP	ABE-0000440
b0125	ECOCYC	EG20098
b0125	GeneID	946624
b0126	UniProtKB/Swiss-Prot	P61517
b0126	ASAP	ABE-0000442
b0126	ECOCYC	EG12319
b0126	GeneID	944832
b0127	UniProtKB/Swiss-Prot	P36879
b0127	ASAP	ABE-0000447
b0127	ECOCYC	EG12320
b0127	GeneID	944833
b0128	UniProtKB/Swiss-Prot	P0AFN6
b0128	ASAP	ABE-0000450
b0128	ECOCYC	EG12321
b0128	GeneID	944836
b0129	UniProtKB/Swiss-Prot	P36881
b0129	ASAP	ABE-0000453
b0129	ECOCYC	EG12322
b0129	GeneID	947397
b0130	UniProtKB/Swiss-Prot	P31666
b0130	ASAP	ABE-0000457
b0130	ECOCYC	EG11749
b0130	GeneID	946536
b0131	UniProtKB/Swiss-Prot	P0A790
b0131	ASAP	ABE-0000459
b0131	ECOCYC	EG11747
b0131	GeneID	945686
b0132	UniProtKB/Swiss-Prot	P31665
b0132	ASAP	ABE-0000463
b0132	ECOCYC	EG11748
b0132	GeneID	944781
b0133	UniProtKB/Swiss-Prot	P31663
b0133	ASAP	ABE-0000465
b0133	ECOCYC	EG11746
b0133	GeneID	944958
b0134	UniProtKB/Swiss-Prot	P31057
b0134	ASAP	ABE-0000467
b0134	ECOCYC	EG11675
b0134	GeneID	944839
b0135	UniProtKB/Swiss-Prot	P31058
b0135	ASAP	ABE-0000470
b0135	ECOCYC	EG11678
b0135	GeneID	944837
b0136	UniProtKB/Swiss-Prot	P37016
b0136	ASAP	ABE-0000472
b0136	ECOCYC	EG12325
b0136	GeneID	944835
b0137	UniProtKB/Swiss-Prot	P37017
b0137	ASAP	ABE-0000475
b0137	ECOCYC	EG12326
b0137	GeneID	944829
b0138	UniProtKB/Swiss-Prot	P37018
b0138	ASAP	ABE-0000477
b0138	ECOCYC	EG12327
b0138	GeneID	944828
b0139	UniProtKB/Swiss-Prot	P33129
b0139	ASAP	ABE-0000479
b0139	ECOCYC	EG11972
b0139	GeneID	944819
b0140	UniProtKB/Swiss-Prot	P33128
b0140	ASAP	ABE-0000482
b0140	ECOCYC	EG11973
b0140	GeneID	944859
b0141	UniProtKB/Swiss-Prot	P37050
b0141	ASAP	ABE-0000487
b0141	ECOCYC	EG12328
b0141	GeneID	944841
b0142	UniProtKB/Swiss-Prot	P26281
b0142	ASAP	ABE-0000491
b0142	ECOCYC	EG11374
b0142	GeneID	948792
b0143	UniProtKB/Swiss-Prot	P0ABF1
b0143	ASAP	ABE-0000493
b0143	ECOCYC	EG10690
b0143	GeneID	947318
b0144	UniProtKB/Swiss-Prot	P27305
b0144	ASAP	ABE-0000497
b0144	ECOCYC	EG11362
b0144	GeneID	944846
b0145	UniProtKB/Swiss-Prot	P0ABS1
b0145	ASAP	ABE-0000499
b0145	ECOCYC	EG10230
b0145	GeneID	944850
b0146	UniProtKB/Swiss-Prot	P0A823
b0146	ASAP	ABE-0000503
b0146	ECOCYC	EG10949
b0146	GeneID	944855
b0147	UniProtKB/Swiss-Prot	P37025
b0147	ASAP	ABE-0000505
b0147	ECOCYC	EG12330
b0147	GeneID	944848
b0148	UniProtKB/Swiss-Prot	P37024
b0148	ASAP	ABE-0000510
b0148	ECOCYC	EG12329
b0148	GeneID	944845
b0149	UniProtKB/Swiss-Prot	P02919
b0149	ASAP	ABE-0000516
b0149	ECOCYC	EG10605
b0149	GeneID	944843
b0149	ASAP	ABE-0000516
b0149	ECOCYC	EG10605
b0149	GeneID	944843
b0150	UniProtKB/Swiss-Prot	P06971
b0150	ASAP	ABE-0000520
b0150	ECOCYC	EG10302
b0150	GeneID	944856
b0151	UniProtKB/Swiss-Prot	P07821
b0151	ASAP	ABE-0000522
b0151	ECOCYC	EG10304
b0151	GeneID	945250
b0152	UniProtKB/Swiss-Prot	P07822
b0152	ASAP	ABE-0000524
b0152	ECOCYC	EG10305
b0152	GeneID	947510
b0153	UniProtKB/Swiss-Prot	P06972
b0153	ASAP	ABE-0000526
b0153	ECOCYC	EG10303
b0153	GeneID	946890
b0154	UniProtKB/Swiss-Prot	P23893
b0154	ASAP	ABE-0000529
b0154	ECOCYC	EG10432
b0154	GeneID	946892
b4765	UniProtKB/Swiss-Prot	P0DSE3
b4765	ECOCYC	G0-17011
b4765	GeneID	63925623
b0155	UniProtKB/Swiss-Prot	P37019
b0155	ASAP	ABE-0000533
b0155	ECOCYC	EG12331
b0155	GeneID	946715
b4728	UniProtKB/Swiss-Prot	P0DPM7
b4728	ECOCYC	G0-16723
b4728	GeneID	38094936
b0156	UniProtKB/Swiss-Prot	P0ACC3
b0156	ASAP	ABE-0000538
b0156	ECOCYC	EG12332
b0156	GeneID	944857
b0157	UniProtKB/Swiss-Prot	P0AFP0
b0157	ASAP	ABE-0000540
b0157	ECOCYC	EG12333
b0157	GeneID	949062
b0158	UniProtKB/Swiss-Prot	P37028
b0158	ASAP	ABE-0000542
b0158	ECOCYC	EG12334
b0158	GeneID	947574
b0159	UniProtKB/Swiss-Prot	P0AF12
b0159	ASAP	ABE-0000545
b0159	ECOCYC	EG11090
b0159	GeneID	948542
b0160	UniProtKB/Swiss-Prot	P15723
b0160	ASAP	ABE-0000548
b0160	ECOCYC	EG10225
b0160	GeneID	947177
b0161	UniProtKB/Swiss-Prot	P0C0V0
b0161	ASAP	ABE-0000551
b0161	ECOCYC	EG10463
b0161	GeneID	947139
b0162	UniProtKB/Swiss-Prot	P37047
b0162	ASAP	ABE-0000554
b0162	ECOCYC	EG12335
b0162	GeneID	944860
b0163	UniProtKB/Swiss-Prot	P62768
b0163	ASAP	ABE-0000556
b0163	ECOCYC	EG12336
b0163	GeneID	947044
b0164	UniProtKB/Swiss-Prot	P37049
b0164	ASAP	ABE-0000559
b0164	ECOCYC	EG12337
b0164	GeneID	945002
b0166	UniProtKB/Swiss-Prot	P0A9D8
b0166	ASAP	ABE-0000565
b0166	ECOCYC	EG10207
b0166	GeneID	944862
b0167	UniProtKB/Swiss-Prot	P27249
b0167	ASAP	ABE-0000568
b0167	ECOCYC	EG11411
b0167	GeneID	944863
b0168	UniProtKB/Swiss-Prot	P0AE18
b0168	ASAP	ABE-0000571
b0168	ECOCYC	EG10570
b0168	GeneID	947882
b0169	UniProtKB/Swiss-Prot	P0A7V0
b0169	ASAP	ABE-0000575
b0169	ECOCYC	EG10901
b0169	GeneID	947874
b0170	UniProtKB/Swiss-Prot	P0A6P1
b0170	ASAP	ABE-0000579
b0170	ECOCYC	EG11033
b0170	GeneID	944866
b0171	UniProtKB/Swiss-Prot	P0A7E9
b0171	ASAP	ABE-0000582
b0171	ECOCYC	EG11539
b0171	GeneID	944989
b0172	UniProtKB/Swiss-Prot	P0A805
b0172	ASAP	ABE-0000588
b0172	ECOCYC	EG10335
b0172	GeneID	946122
b0173	UniProtKB/Swiss-Prot	P45568
b0173	ASAP	ABE-0000592
b0173	ECOCYC	EG12715
b0173	GeneID	945019
b0174	UniProtKB/Swiss-Prot	P60472
b0174	ASAP	ABE-0000595
b0174	ECOCYC	G6092
b0174	GeneID	944874
b0175	UniProtKB/Swiss-Prot	P0ABG1
b0175	ASAP	ABE-0000600
b0175	ECOCYC	EG10139
b0175	GeneID	944876
b0176	UniProtKB/Swiss-Prot	P0AEH1
b0176	ASAP	ABE-0000603
b0176	ECOCYC	EG12436
b0176	GeneID	944871
b0177	UniProtKB/Swiss-Prot	P0A940
b0177	ASAP	ABE-0000605
b0177	ECOCYC	G6093
b0177	GeneID	944870
b0178	UniProtKB/Swiss-Prot	P0AEU7
b0178	ASAP	ABE-0000608
b0178	ECOCYC	EG10455
b0178	GeneID	944861
b0179	UniProtKB/Swiss-Prot	P21645
b0179	ASAP	ABE-0000610
b0179	ECOCYC	EG10316
b0179	GeneID	944882
b0180	UniProtKB/Swiss-Prot	P0A6Q6
b0180	ASAP	ABE-0000613
b0180	ECOCYC	EG11284
b0180	GeneID	944888
b0181	UniProtKB/Swiss-Prot	P0A722
b0181	ASAP	ABE-0000618
b0181	ECOCYC	EG10545
b0181	GeneID	944849
b0182	UniProtKB/Swiss-Prot	P10441
b0182	ASAP	ABE-0000620
b0182	ECOCYC	EG10546
b0182	GeneID	944838
b0183	UniProtKB/Swiss-Prot	P10442
b0183	ASAP	ABE-0000622
b0183	ECOCYC	EG10861
b0183	GeneID	944852
b0184	UniProtKB/Swiss-Prot	P10443
b0184	ASAP	ABE-0000624
b0184	ECOCYC	EG10238
b0184	GeneID	944877
b0185	UniProtKB/Swiss-Prot	P0ABD5
b0185	ASAP	ABE-0000630
b0185	ECOCYC	EG11647
b0185	GeneID	944895
b0186	UniProtKB/Swiss-Prot	P52095
b0186	ASAP	ABE-0000633
b0186	ECOCYC	G6094
b0186	GeneID	944887
b0187	UniProtKB/Swiss-Prot	P52096
b0187	ASAP	ABE-0000635
b0187	ECOCYC	G6095
b0187	GeneID	944875
b0188	UniProtKB/Swiss-Prot	P52097
b0188	ASAP	ABE-0000638
b0188	ECOCYC	G6096
b0188	GeneID	944889
b0189	UniProtKB/Swiss-Prot	P0AFW8
b0189	ASAP	ABE-0000641
b0189	ECOCYC	G6097
b0189	GeneID	944891
b4406	UniProtKB/Swiss-Prot	P0A8K5
b4406	ASAP	ABE-0047214
b4406	ECOCYC	G372
b4406	GeneID	1450233
b0190	UniProtKB/Swiss-Prot	P0AA97
b0190	ASAP	ABE-0000648
b0190	ECOCYC	G6098
b0190	GeneID	946809
b0191	UniProtKB/Swiss-Prot	P40711
b0191	ASAP	ABE-0000650
b0191	ECOCYC	EG12354
b0191	GeneID	946046
b0192	UniProtKB/Swiss-Prot	P40710
b0192	ASAP	ABE-0000652
b0192	ECOCYC	EG12137
b0192	GeneID	946782
b0193	UniProtKB/Swiss-Prot	P37056
b0193	ASAP	ABE-0000655
b0193	ECOCYC	EG12138
b0193	GeneID	944892
b0194	UniProtKB/Swiss-Prot	P16659
b0194	ASAP	ABE-0000657
b0194	ECOCYC	EG10770
b0194	GeneID	949116
b0195	UniProtKB/Swiss-Prot	P28634
b0195	ASAP	ABE-0000661
b0195	ECOCYC	EG11503
b0195	GeneID	949112
b0196	UniProtKB/Swiss-Prot	P69411
b0196	ASAP	ABE-0000663
b0196	ECOCYC	EG11502
b0196	GeneID	949113
b0197	UniProtKB/Swiss-Prot	P28635
b0197	ASAP	ABE-0000666
b0197	ECOCYC	EG11504
b0197	GeneID	944893
b0198	UniProtKB/Swiss-Prot	P31547
b0198	ASAP	ABE-0000668
b0198	ECOCYC	EG11737
b0198	GeneID	944894
