bnumber	Site
b0907	TU0-5964
b0907	TU00357
b0908	TU00357
b0909	TU0-13086
b0910	TU361
b0911	TU361
b0911	TU564
b0911	TU565
b0912	TU0-45280
b0912	TU00175
b0912	TU564
b0912	TU565
b0913	TU0-13087
b0914	TU0-13087
b0915	TU0-13087
b0916	TU0-13087
b0917	TU0-13088
b0918	TU0-13088
b0919	TU0-13089
b0920	TU0-8676
b0921	TU261
b0922	TU261
b0923	TU261
b0924	TU261
b0925	TU0-13090
b0926	TU0-13091
b0927	TU0-13091
b0928	TU0-6482
b0929	TU0-45229
b0929	TU00050
b0930	TU0-13093
b0931	TU00195
b0932	TU0-8489
b0933	TU0-6629
b0934	TU0-6629
b0935	TU0-6629
b0936	TU0-6629
b0937	TU0-6629
b0938	TU0-13094
b0939	TU0-13095
b0940	TU0-13095
b0941	TU0-13095
b0942	TU0-13095
b0943	TU0-13095
b0944	TU0-13095
b0945	TU00061
b0946	TU0-13096
b0947	TU0-8678
b0948	TU0-2001
b0949	TU0-2001
b0950	TU0-45186
b0950	TU0-45259
b0950	TU561
b0950	TU562
b0951	TU0-45186
b0951	TU0-45259
b0951	TU561
b0951	TU562
b0952	TU0-14325
b0952	TU0-45186
b0952	TU0-45259
b0952	TU561
b0952	TU562
b0953	TU0-42483
b0954	TU00092
b0955	TU0-13098
b0956	TU0-8677
b0957	TU0-4742
b0957	TU00048
b0958	TU00066
b0959	TU0-8679
b0960	TU0-13099
b0961	TU0-13099
b0962	TU0-8809
b0963	TU0-13100
b0964	TU0-13101
b0965	TU0-8680
b0966	TU0-13102
b0967	TU0-13103
b0968	TU0-8681
b0969	TU0-13104
b0970	TU0-13105
b0971	TU00509
b0972	TU0-45171
b0972	TU00288
b0973	TU0-45171
b0973	TU00288
b0974	TU0-45171
b0974	TU00288
b0975	TU0-45171
b0975	TU00288
b0976	TU0-45171
b0976	TU00288
b0977	TU0-45171
b0977	TU00288
b0978	TU0-45265
b0978	TU00097
b0979	TU0-45265
b0979	TU00097
b0980	TU0-45265
b0980	TU00097
b0980	TU00461
b0981	TU0-13106
b0982	TU0-13106
b0983	TU0-13106
b0984	TU0-13107
b0985	TU0-13107
b0986	TU0-13107
b0987	TU0-13108
b0988	TU0-13109
b0989	TU0-8780
b0990	TU0-6983
b0991	TU0-13110
b0992	TU0-13111
b0993	TU0-13112
b0994	TU0-8530
b0995	TU793
b0996	TU00212
b0997	TU00212
b0998	TU00212
b0999	TU0-36443
b0999	TU0-42532
b0999	TU0-42533
b0999	TU0-45195
b0999	TU00387
b1	TU0-13156
b1	TU0-36425
b1000	TU0-36443
b1000	TU0-42532
b1000	TU0-42533
b1000	TU0-45195
b1000	TU00387
b1001	TU0-13113
b1002	TU0-7401
b1003	TU0-13114
b1004	TU0-13114
b1006	TU0-3645
b1007	TU0-3645
b1008	TU0-3645
b1009	TU0-3645
b1010	TU0-3645
b1011	TU0-3645
b1012	TU0-3645
b1013	TU-8423
b1013	TU0-14540
b1014	TU355
b1015	TU103
b1015	TU104
b1015	TU121
b1015	TU122
b1015	TU123
b1018	TU0-13116
b1019	TU0-13116
b1020	TU864
b1020	TU866
b1021	TU0-8471
b1022	TU0-8471
b1023	TU0-8471
b1024	TU0-8471
b1025	TU0-8682
b1026	TU0-13117
b1027	TU0-13117
b1029	TU0-13118
b1032	TU00510
b1033	TU0-13119
b1034	TU0-13120
b1035	TU0-13120
b1036	TU0-13121
b1037	TU0-14429
b1037	TU0-45201
b1037	TU0-45257
b1037	TU00392
b1038	TU0-14429
b1038	TU0-45201
b1038	TU0-45257
b1038	TU00392
b1039	TU0-14429
b1039	TU0-45201
b1039	TU0-45257
b1039	TU00392
b1040	TU0-14429
b1040	TU0-45201
b1040	TU0-45257
b1040	TU00392
b1041	TU0-45224
b1041	TU00390
b1042	TU0-42695
b1042	TU0-45224
b1042	TU00390
b1043	TU0-14514
b1043	TU0-45224
b1043	TU00390
b1044	TU0-13122
b1044	TU0-42664
b1044	TU0-42668
b1045	TU0-13123
b1045	TU0-42664
b1045	TU0-42666
b1045	TU0-42668
b1046	TU0-13123
b1046	TU0-14619
b1046	TU0-42664
b1047	TU0-8826
b1048	TU0-4143
b1048	TU0-45174
b1048	TU00297
b1049	TU0-4143
b1049	TU0-45174
b1049	TU00297
b1050	TU0-13124
b1051	TU0-8150
b1053	TU0-13125
b1054	TU0-901
b1055	TU0-921
b1056	TU0-13126
b1056	TU0-41656
b1056	TU0-45228
b1057	TU0-13126
b1057	TU0-45228
b1058	TU0-13127
b1059	TU0-13127
b1060	TU0-14621
b1060	TU0-8351
b1060	TU0-8352
b1061	TU0-13128
b1062	TU00060
b1063	TU0-13129
b1064	TU0-13130
b1065	TU0-13131
b1066	TU0-8281
b1067	TU0-14349
b1068	TU0-14350
b1069	TU0-13132
b1070	TU0-1544
b1070	TU00272
b1071	TU0-1544
b1071	TU00272
b1072	TU00272
b1073	TU00273
b1074	TU00273
b1075	TU00273
b1076	TU00273
b1077	TU00273
b1078	TU00273
b1079	TU00273
b1080	TU00273
b1081	TU00273
b1082	TU0-1545
b1083	TU0-1545
b1084	TU-8407
b1084	TU0-14272
b1084	TU0-14273
b1084	TU0-14622
b1085	TU0-13133
b1086	TU0-13134
b1087	TU0-8683
b1088	TU601
b1088	TU602
b1089	TU0-1
b1089	TU601
b1089	TU602
b1090	TU0-1
b1090	TU0-5
b1091	TU0-1
b1091	TU0-5
b1091	TU00266
b1092	TU0-1
b1092	TU0-5
b1092	TU00266
b1092	TU442
b1093	TU0-1
b1093	TU0-5
b1093	TU00266
b1093	TU442
b1093	TU443
b1094	TU0-42537
b1094	TU441
b1094	TU442
b1094	TU443
b1095	TU0-42538
b1095	TU441
b1096	TU0-13135
b1097	TU0-13135
b1098	TU0-13135
b1099	TU0-13135
b1100	TU0-13135
b1101	TU0-1141
b1101	TU0-1142
b1102	TU0-2581
b1103	TU0-13136
b1104	TU0-13136
b1105	TU0-13136
b1106	TU0-13136
b1107	TU0-13136
b1108	TU0-13136
b1109	TU00158
b1110	TU0-13137
b1111	TU0-8684
b1112	TU0-41673
b1112	TU0-8685
b1113	TU0-13138
b1114	TU0-2081
b1114	TU0-2082
b1115	TU0-13140
b1116	TU0-13141
b1117	TU0-13141
b1118	TU0-13141
b1119	TU0-13142
b1120	TU0-13142
b1121	TU0-13143
b1122	TU0-13143
b1123	TU00321
b1124	TU00321
b1125	TU00321
b1126	TU00321
b1127	TU0-8490
b1128	TU0-13144
b1129	TU0-14468
b1129	TU0-41681
b1129	TU00319
b1129	TU66
b1130	TU0-14468
b1130	TU00319
b1130	TU66
b1131	TU00054
b1132	TU00054
b1133	TU0-14364
b1134	TU0-13145
b1135	TU0-13145
b1136	TU00107
b1136	TU00425
b1137	TU0-13147
b1138	TU0-13147
b1139	TU0-8848
b1140	TU0-13148
b1141	TU0-13148
b1142	TU0-13148
b1143	TU0-8635
b1144	TU0-13149
b1145	TU0-13150
b1146	TU0-13151
b1147	TU0-13151
b1148	TU0-13151
b1149	TU0-13151
b1150	TU0-13151
b1151	TU0-13151
b1153	TU0-13151
b1154	TU0-13151
b1155	TU0-13151
b1156	TU0-13152
b1157	TU0-13152
b1158	TU0-13153
b1159	TU0-13154
b1161	TU0-13157
b1162	TU0-13158
b1163	TU0-42501
b1164	TU0-13160
b1164	TU0-14762
b1164	TU0-45166
b1165	TU0-13161
b1165	TU0-14762
b1165	TU0-45166
b1166	TU0-13161
b1166	TU0-14762
b1166	TU0-42593
b1166	TU0-45166
b1167	TU0-13162
b1167	TU0-14762
b1167	TU0-45166
b1168	TU0-13163
b1171	TU0-13167
b1172	TU0-13167
b1174	TU00299
b1175	TU00299
b1176	TU00299
b1177	TU0-8687
b1178	TU0-8688
b1179	TU0-13169
b1180	TU0-13170
b1181	TU0-13171
b1182	TU581
b1183	TU00180
b1184	TU00180
b1185	TU0-13172
b1186	TU0-13173
b1187	TU0-14737
b1187	TU0-8794
b1188	TU0-8686
b1189	TU00255
b1189	TU461
b1189	TU462
b1190	TU00255
b1190	TU461
b1190	TU462
b1191	TU0-13174
b1192	TU0-13175
b1193	TU0-8791
b1194	TU0-1548
b1195	TU0-13176
b1196	TU0-13177
b1197	TU00396
b1198	TU0-14518
b1198	TU0-7981
b1199	TU0-7981
b1200	TU0-7981
b1201	TU0-7962
b1202	TU0-13178
b1203	TU0-1781
b1203	TU0-1782
b1204	TU0-1781
b1205	TU0-8689
b1206	TU0-13179
b1207	TU0-8323
b1207	TU00203
b1208	TU0-8323
b1209	TU0-8323
b1210	TU0-4201
b1210	TU0-4202
b1211	TU0-4201
b1212	TU0-4201
b1213	TU305
b1214	TU305
b1215	TU305
b1215	TU306
b1216	TU0-8777
b1217	TU00249
b1218	TU0-14458
b1218	TU00249
b1219	TU0-8690
b1220	TU0-8691
b1221	TU00156
b1222	TU00156
b1223	TU0-8324
b1223	TU00045
b1224	TU00044
b1225	TU00044
b1226	TU00044
b1227	TU00044
b1228	TU0-13180
b1229	TU0-14549
b1229	TU00511
b1230	TU0-14549
b1230	TU00511
b1231	TU00511
b1232	TU0-13182
b1233	TU0-13183
b1234	TU0-8367
b1235	TU0-8364
b1235	TU0-8367
b1236	TU0-7441
b1237	TU00139
b1238	TU0-8527
b1241	TU0-45181
b1241	TU00198
b1241	TU546
b1242	TU0-13185
b1243	TU00222
b1244	TU0-45147
b1244	TU00222
b1245	TU0-45147
b1245	TU00222
b1246	TU0-45147
b1246	TU00222
b1247	TU0-45147
b1247	TU00222
b1248	TU863
b1249	TU863
b1250	TU0-4403
b1251	TU0-13188
b1252	TU00167
b1253	TU0-13189
b1254	TU0-13190
b1255	TU0-13190
b1256	TU0-8813
b1257	TU0-13193
b1257	TU0-36411
b1258	TU0-13193
b1259	TU0-13193
b1259	TU0-36408
b1260	TU00067
b1260	TU3
b1261	TU00067
b1261	TU3
b1262	TU00067
b1262	TU3
b1263	TU00067
b1264	TU00067
b1265	TU0-42510
b1265	TU00067
b1266	TU0-13194
b1267	TU0-13194
b1268	TU0-13194
b1269	TU0-13195
b1270	TU0-13196
b1271	TU0-13196
b1272	TU0-45253
b1272	TU0-961
b1272	TU0-962
b1273	TU0-8692
b1274	TU0-2501
b1274	TU0-2502
b1274	TU0-2503
b1274	TU0-2504
b1274	TU0-2505
b1274	TU0-45223
b1275	TU00077
b1276	TU0-14625
b1276	TU0-45169
b1276	TU794
b1276	TU795
b1277	TU0-1741
b1277	TU0-1742
b1278	TU0-13199
b1279	TU0-13200
b1279	TU0-14472
b1279	TU0-42573
b1279	TU0-45261
b1279	TU0-45262
b1280	TU0-13200
b1280	TU0-14472
b1280	TU0-42573
b1280	TU0-45261
b1280	TU0-45262
b1281	TU0-14472
b1281	TU0-45262
b1281	TU0-6407
b1282	TU0-14472
b1282	TU0-45262
b1282	TU0-6407
b1283	TU0-45230
b1283	TU00388
b1283	TU00389
b1284	TU0-42448
b1284	TU0-8475
b1285	TU0-4021
b1286	TU582
b1286	TU583
b1287	TU0-13203
b1288	TU0-13204
b1288	TU0-42604
b1289	TU0-13205
b1290	TU0-13206
b1291	TU0-13206
b1292	TU0-13206
b1293	TU0-13206
b1294	TU0-13206
b1295	TU0-13207
b1296	TU0-13209
b1296	TU0-4404
b1297	TU0-13209
b1298	TU0-13210
b1299	TU0-13210
b1300	TU0-13210
b1300	TU0-13211
b1301	TU0-13210
b1301	TU0-13211
b1302	TU0-13210
b1302	TU0-13211
b1303	TU0-1802
b1303	TU0-1803
b1303	TU0-1805
b1304	TU00326
b1305	TU0-14550
b1305	TU00326
b1306	TU0-14550
b1306	TU00326
b1307	TU0-14550
b1307	TU00326
b1308	TU0-14499
b1308	TU0-14550
b1308	TU00326
b1309	TU0-13212
b1310	TU0-13212
b1311	TU0-13212
b1312	TU0-13212
b1313	TU0-13212
b1314	TU0-13212
b1315	TU0-13212
b1316	TU0-13212
b1317	TU0-13212
b1318	TU0-13212
b1319	TU0-13212
b1319	TU0-13213
b1320	TU0-8695
b1321	TU0-13214
b1321	TU0-14473
b1322	TU0-13214
b1322	TU0-14473
b1323	TU0-14473
b1323	TU00068
b1324	TU544
b1325	TU0-8693
b1326	TU0-13215
b1326	TU0-41739
b1326	TU0-42524
b1327	TU0-13216
b1327	TU0-42524
b1328	TU0-13217
b1329	TU0-13218
b1330	TU0-8636
b1331	TU0-13219
b1332	TU0-13220
b1333	TU0-13221
b1334	TU00022
b1335	TU0-13222
b1335	TU0-14739
b1336	TU0-13222
b1337	TU0-13222
b1338	TU0-13222
b1339	TU0-8760
b1340	TU0-8696
b1341	TU0-8697
b1342	TU0-13223
b1343	NA
b1344	TU0-13225
b1345	TU0-13226
b1346	TU0-13226
b1347	TU0-13226
b1348	TU0-13226
b1349	TU0-13226
b1350	TU0-13226
b1351	TU0-13227
b1352	TU0-13228
b1353	TU0-8509
b1355	TU0-13229
b1356	TU0-13230
b1357	TU0-13231
b1358	TU0-13231
b1359	TU0-13231
b1360	TU0-13231
b1361	TU0-13231
b1363	TU0-13233
b1365	TU0-13234
b1366	TU0-13234
b1368	TU0-13235
b1370	TU0-8834
b1372	TU0-13236
b1373	TU0-13236
b1374	TU0-13237
b1375	TU0-13238
b1376	TU0-13239
b1377	TU0-13240
b1377	TU0-41760
b1377	TU0-42540
b1378	TU0-41760
b1378	TU0-42540
b1378	TU0-8699
b1379	TU0-13241
b1380	TU0-8353
b1381	TU0-13242
b1382	TU0-13242
b1383	TU0-13242
b1384	TU0-42547
b1384	TU0-42548
b1384	TU0-42549
b1384	TU501
b1385	TU0-42551
b1385	TU0-8795
b1386	TU0-42552
b1387	TU4
b1388	TU5
b1389	TU5
b1390	TU5
b1391	TU5
b1392	TU5
b1393	TU5
b1394	TU5
b1395	TU5
b1396	TU5
b1397	TU0-44205
b1397	TU0-44206
b1397	TU0-44207
b1397	TU5
b1398	TU5
b1399	TU7
b1400	TU7
b1402	TU0-13245
b1403	TU0-13245
b1404	TU0-13246
b1406	TU0-13248
b1407	TU0-13249
b1408	TU0-13250
b1409	TU0-13250
b1410	TU0-13250
b1411	TU0-13250
b1412	TU0-42461
b1413	TU0-13251
b1414	TU0-13252
b1415	TU102
b1418	TU0-13253
b1419	TU0-13254
b1420	TU0-13256
b1421	TU0-14627
b1422	TU0-8700
b1423	TU0-13258
b1424	TU0-13259
b1426	TU0-13260
b1427	TU0-6423
b1428	TU0-8701
b1429	TU00364
b1430	TU00364
b1431	TU0-13261
b1432	TU0-14243
b1433	TU0-8702
b1434	TU0-13264
b1435	TU0-13265
b1436	TU0-14242
b1438	TU0-13266
b1438	TU0-45145
b1439	TU0-13267
b1440	TU0-3644
b1440	TU0-41778
b1440	TU0-42535
b1441	TU0-3644
b1441	TU0-41778
b1441	TU0-42535
b1442	TU0-3644
b1442	TU0-41778
b1442	TU0-42535
b1443	TU0-3644
b1443	TU0-41778
b1443	TU0-42535
b1444	TU0-13268
b1444	TU0-3644
b1444	TU0-41778
b1444	TU0-42535
b1445	TU0-13269
b1446	TU0-13270
b1447	TU0-13271
b1448	TU0-13271
b1449	TU0-13272
b1450	TU0-13273
b1451	TU0-8637
b1452	TU0-8638
b1453	TU0-8147
b1453	TU0-8148
b1454	TU0-13274
b1455	TU0-13275
b1457	TU0-13276
b1460	TU0-13279
b1461	TU0-13280
b1462	TU0-8703
b1463	TU0-8818
b1464	TU0-13281
b1465	TU-8427
b1465	TU00306
b1466	TU-8427
b1466	TU00306
b1467	TU00306
b1468	TU00306
b1469	TU0-2649
b1469	TU0-2661
b1471	TU0-13283
b1472	TU0-13283
b1473	TU0-13284
b1474	TU00157
b1475	TU00157
b1476	TU00157
b1477	TU0-13285
b1478	TU0-13286
b1479	TU0-13287
b1480	TU0-3901
b1480	TU0-7141
b1481	TU0-7141
b1482	TU0-1761
b1482	TU0-1762
b1483	TU0-3623
b1483	TU0-42462
b1483	TU0-42463
b1484	TU0-3623
b1484	TU0-42462
b1484	TU0-42463
b1485	TU0-3623
b1485	TU0-42462
b1485	TU0-42463
b1486	TU0-3623
b1486	TU0-42462
b1486	TU0-42463
b1487	TU0-3623
b1487	TU0-42462
b1487	TU0-42463
b1488	TU0-3623
b1488	TU0-42462
b1488	TU0-42463
b1489	TU0-8478
b1490	TU0-8478
b1491	TU0-13288
b1492	TU0-41793
b1492	TU0-45231
b1492	TU369
b1493	TU0-45231
b1493	TU369
b1494	TU0-13289
b1495	TU0-13290
b1496	TU0-13290
b1497	TU0-13291
b1497	TU0-41795
b1498	TU0-13292
b1498	TU0-41795
b1499	TU0-14545
b1499	TU0-7743
b1500	TU0-14545
b1501	TU0-7741
b1502	TU0-13293
b1503	TU0-13294
b1504	TU0-13294
b1505	TU0-13294
b1507	TU00284
b1508	TU00284
b1511	TU0-13298
b1511	TU0-13299
b1512	TU0-13299
b1513	TU0-7861
b1514	TU0-7861
b1515	TU0-7861
b1516	TU0-7861
b1517	TU0-7861
b1518	TU0-7861
b1519	TU0-13300
b1519	TU0-7861
b1520	TU0-13301
b1521	TU0-36422
b1521	TU00372
b1522	TU0-13302
b1523	TU0-13303
b1524	TU0-13303
b1525	TU0-13304
b1526	TU0-13305
b1527	TU0-13306
b1528	TU0-1421
b1529	TU0-8827
b1530	TU00190
b1531	TU00190
b1532	TU00190
b1533	TU0-8704
b1534	TU0-8705
b1535	TU0-13308
b1536	TU0-41801
b1537	TU0-8706
b1538	TU0-8783
b1539	TU0-13310
b1540	TU0-13311
b1541	TU0-13312
b1542	TU0-13313
b1543	TU0-13314
b1544	TU0-13315
b1545	TU0-13316
b1546	TU0-7681
b1547	TU0-7681
b1548	TU0-7681
b1549	TU0-13318
b1550	TU0-13319
b1551	TU0-13320
b1552	TU0-42493
b1552	TU0-6981
b1553	TU0-13321
b1554	TU0-13321
b1555	TU0-13321
b1556	TU0-13321
b1557	TU0-6982
b1558	TU0-8779
b1559	TU0-13322
b1560	TU0-13322
b1561	TU0-13323
b1562	TU0-13324
b1562	TU0-14381
b1563	TU0-13325
b1563	TU0-14381
b1564	TU0-13325
b1564	TU0-14381
b1565	TU0-13326
b1566	TU0-1501
b1567	TU0-13327
b1568	TU0-13327
b1569	TU0-13327
b1570	TU0-13328
b1571	TU0-13329
b1572	TU0-13329
b1573	TU0-13329
b1574	TU0-13330
b1575	TU0-13331
b1576	TU0-13331
b1578	TU0-13331
b1579	TU0-13331
b1580	TU0-13333
b1581	TU0-13333
b1582	TU0-13334
b1583	TU0-13335
b1584	TU0-13335
b1585	TU0-8639
b1586	TU0-13336
b1587	TU0-45246
b1587	TU0-5481
b1588	TU0-45246
b1588	TU0-5481
b1589	TU0-45246
b1589	TU0-5481
b1590	TU0-45246
b1590	TU0-5481
b1591	TU0-45246
b1591	TU0-5481
b1592	TU0-13337
b1593	TU0-13338
b1593	TU0-45193
b1593	TU790
b1594	TU0-45193
b1594	TU789
b1594	TU790
b1595	TU0-13340
b1596	TU0-13341
b1597	TU0-1701
b1597	TU0-45276
b1598	TU0-13342
b1599	TU0-13343
b1600	TU0-13343
b1601	TU0-8532
b1602	TU00320
b1603	TU00320
b1604	TU0-13344
b1605	TU0-13345
b1606	TU0-13345
b1607	TU0-8707
b1608	TU0-7784
b1609	TU0-7784
b1610	TU0-13346
b1611	TU0-42482
b1611	TU0-42499
b1611	TU00105
b1612	TU0-42499
b1612	TU00104
b1613	TU0-6425
b1614	TU0-13348
b1615	TU0-5081
b1616	TU0-5081
b1617	TU0-5081
b1618	TU0-5082
b1619	TU0-13349
b1620	TU00187
b1621	TU00132
b1622	TU0-44194
b1622	TU00132
b1623	TU0-13350
b1624	TU0-8708
b1625	TU0-13352
b1626	TU0-8456
b1627	TU0-8456
b1627	TU0-8458
b1628	TU0-8456
b1628	TU0-8458
b1629	TU0-8456
b1629	TU0-8458
b1630	TU0-8456
b1630	TU0-8458
b1631	TU0-8456
b1631	TU0-8458
b1632	TU0-8456
b1632	TU0-8458
b1633	TU0-8456
b1633	TU0-8458
b1634	TU0-8473
b1635	TU0-13353
b1636	TU0-14496
b1636	TU0-14629
b1636	TU0-8864
b1636	TU0-8865
b1637	TU0-14629
b1637	TU0-8864
b1637	TU0-8865
b1638	TU0-8864
b1639	TU0-13354
b1640	TU0-13355
b1641	TU0-7802
b1641	TU0-7803
b1642	TU0-8511
b1643	TU-8428
b1644	TU-8428
b1645	TU-8428
b1646	TU0-13356
b1647	TU0-13357
b1648	TU0-13358
b1649	TU0-14351
b1649	TU0-14687
b1649	TU0-42534
b1650	TU0-14352
b1650	TU0-14687
b1650	TU0-42534
b1651	TU0-42534
b1651	TU0-8182
b1652	TU00333
b1653	TU-8430
b1653	TU00333
b1654	TU0-8805
b1655	TU0-13359
b1656	TU0-1681
b1657	TU0-8332
b1658	TU00059
b1659	TU0-8331
b1660	TU0-13360
b1661	TU0-45251
b1661	TU502
b1661	TU503
b1662	TU0-8504
b1663	TU0-8825
b1664	TU0-8709
b1665	TU00493
b1666	TU00493
b1667	TU0-13361
b1668	TU0-13362
b1669	TU0-13363
b1669	TU0-14675
b1670	TU0-13363
b1670	TU0-14675
b1671	TU0-13363
b1671	TU0-14675
b1672	TU0-13364
b1672	TU0-14675
b1673	TU0-13364
b1673	TU0-14675
b1674	TU0-13364
b1674	TU0-14675
b1675	TU0-13365
b1676	TU0-14630
b1676	TU0-14631
b1676	TU0-14822
b1676	TU0-45163
b1676	TU0-45244
b1676	TU00527
b1677	TU0-6509
b1677	TU0-8380
b1678	TU0-13366
b1679	TU0-2621
b1680	TU0-2621
b1681	TU0-2621
b1682	TU0-2621
b1683	TU0-2621
b1684	TU0-2621
b1685	TU0-13368
b1686	TU0-13368
b1687	TU0-13368
b1688	TU0-13369
b1689	TU0-13371
b1690	TU0-13372
b1691	TU0-13373
b1692	TU0-13373
b1693	TU0-13373
b1693	TU0-42694
b1694	TU0-13374
b1695	TU0-13374
b1696	TU0-8710
b1697	TU0-5322
b1698	TU0-5322
b1699	TU0-5322
b1700	TU0-5322
b1701	TU0-5322
b1702	TU00162
b1703	TU0-13375
b1704	TU0-14254
b1704	TU00010
b1705	TU0-13376
b1706	TU0-8482
b1707	TU0-13377
b1708	TU0-13378
b1709	TU0-44193
b1709	TU00246
b1710	TU0-44213
b1710	TU0-44214
b1710	TU00246
b1711	TU00246
b1712	TU0-14257
b1712	TU0-6626
b1712	TU00174
b1713	TU0-14257
b1713	TU0-6626
b1714	TU0-14257
b1714	TU0-6626
b1715	TU0-14257
b1715	TU0-6626
b1715	TU0-8855
b1715	TU0-8856
b1716	TU0-14255
b1716	TU0-14257
b1716	TU0-3305
b1716	TU0-6657
b1716	TU0-8855
b1717	TU0-14255
b1717	TU0-14257
b1717	TU0-3305
b1718	TU0-14257
b1718	TU0-3304
b1718	TU0-3305
b1718	TU00366
b1719	TU0-14257
b1719	TU00366
b1722	TU0-41842
b1723	TU0-6408
b1723	TU0-8181
b1724	TU0-13381
b1725	TU0-13382
b1726	TU0-8640
b1727	TU0-13383
b1728	TU0-8261
b1729	TU0-13384
b1730	TU0-13385
b1731	TU781
b1732	TU0-6507
b1733	TU00248
b1734	TU00248
b1735	TU00248
b1736	TU00248
b1737	TU00248
b1738	TU00248
b1739	TU0-45283
b1739	TU00398
b1740	TU0-13386
b1741	TU0-8267
b1742	TU0-7361
b1743	TU-8381
b1744	TU0-1002
b1744	TU0-1003
b1744	TU0-1004
b1745	TU0-1002
b1745	TU0-1003
b1745	TU0-1004
b1746	TU0-1002
b1746	TU0-1003
b1746	TU0-1004
b1747	TU0-1002
b1747	TU0-1003
b1747	TU0-1004
b1748	TU0-1002
b1748	TU0-1003
b1748	TU0-1004
b1749	TU542
b1750	TU0-13388
b1751	TU0-13388
b1752	TU0-13388
b1753	TU0-13388
b1754	TU0-13388
b1755	TU0-13388
b1756	TU0-13388
b1757	TU0-13389
b1758	TU0-8641
b1759	TU0-8814
b1760	TU0-14800
b1760	TU0-8642
b1761	TU0-1201
b1762	TU0-13390
b1763	TU0-14527
b1763	TU0-14798
b1763	TU00356
b1764	TU0-14527
b1764	TU0-14798
b1764	TU00356
b1765	TU00356
b1766	TU0-13391
b1767	TU00238
b1768	TU00238
b1769	TU0-13392
b1770	TU0-13393
b1771	TU0-13394
b1772	TU0-13394
b1773	TU0-13394
b1774	TU0-13394
b1775	TU0-13394
b1776	TU0-13394
b1777	TU0-13395
b1778	TU0-41857
b1779	TU0-42480
b1779	TU0-42481
b1779	TU0-45263
b1779	TU0-4904
b1779	TU0-4905
b1779	TU0-4906
b1779	TU0-4907
b1780	TU0-13398
b1780	TU0-4904
b1781	TU0-13399
b1782	TU0-13400
b1783	TU0-14632
b1783	TU0-3621
b1784	TU0-14632
b1784	TU0-3621
b1785	TU0-13401
b1786	TU0-13402
b1787	TU0-13403
b1788	TU0-8646
b1789	TU0-8712
b1790	TU0-8713
b1791	TU0-13404
b1792	TU0-13405
b1793	TU0-8644
b1794	TU0-8714
b1795	TU0-13406
b1796	TU0-13407
b1797	TU0-13407
b1798	TU0-42526
b1799	TU0-13409
b1800	TU0-13410
b1801	TU0-13411
b1802	TU0-13411
b1803	TU0-13412
b1804	TU0-14354
b1805	TU0-4187
b1806	TU0-13413
b1806	TU0-3464
b1807	TU0-13413
b1808	TU0-13414
b1809	TU0-13415
b1810	TU0-13416
b1811	TU0-8645
b1812	TU0-13417
b1813	TU0-13417
b1814	TU00223
b1815	TU0-13418
b1816	TU0-8643
b1817	TU00196
b1818	TU00196
b1819	TU00196
b1820	TU0-13419
b1821	TU0-13420
b1822	TU0-13421
b1823	TU0-13422
b1823	TU0-14771
b1824	TU0-13422
b1824	TU0-14771
b1825	TU0-13423
b1826	TU0-2447
b1827	TU0-8841
b1828	TU0-8715
b1829	TU00400
b1830	TU0-13425
b1831	TU0-13425
b1832	TU0-13426
b1833	TU0-13427
b1834	TU0-13427
b1835	TU0-13428
b1836	TU0-13429
b1837	TU0-13430
b1838	TU0-3463
b1838	TU0-45144
b1839	TU0-13432
b1840	TU0-13432
b1841	TU0-13432
b1842	TU0-13433
b1843	TU0-13434
b1844	TU0-13434
b1845	TU0-13435
b1846	TU0-13436
b1847	TU0-13437
b1848	TU0-13438
b1849	TU0-8494
b1850	TU00227
b1850	TU25
b1850	TU26
b1850	TU27
b1851	TU00227
b1852	TU00209
b1853	TU0-13439
b1854	TU0-13440
b1854	TU0-14633
b1854	TU0-45175
b1854	TU0-45220
b1855	TU0-13441
b1856	TU0-14369
b1857	TU0-4642
b1858	TU0-4604
b1859	TU0-4604
b1860	TU0-6661
b1860	TU00353
b1861	TU0-6661
b1861	TU00353
b1862	TU0-8244
b1862	TU0-8245
b1863	TU0-8241
b1863	TU0-8242
b1863	TU0-8243
b1864	TU0-8241
b1864	TU0-8243
b1865	TU0-8243
b1866	TU0-14634
b1866	TU0-8084
b1867	TU0-13442
b1868	TU0-13442
b1869	TU0-13443
b1870	TU0-13443
b1871	TU0-13443
b1872	TU684
b1873	TU684
b1874	TU00451
b1875	TU00451
b1876	TU0-13444
b1877	TU0-13445
b1878	TU-8405
b1879	TU-8405
b1880	TU-8405
b1881	TU0-1547
b1882	TU0-1547
b1883	TU0-1547
b1884	TU0-1547
b1885	TU0-1547
b1886	TU0-1547
b1887	TU00303
b1888	TU00303
b1889	TU00303
b1890	TU00303
b1891	TU0-14785
b1891	TU00136
b1892	TU0-14785
b1892	TU00136
b1893	TU0-13446
b1894	TU0-13446
b1895	TU0-8535
b1896	TU0-7722
b1896	TU00312
b1896	TU00391
b1897	TU0-7722
b1897	TU00312
b1898	TU0-42451
b1898	TU0-45183
b1898	TU00098
b1900	TU0-42451
b1900	TU0-45183
b1900	TU00098
b1901	TU0-42451
b1901	TU0-45183
b1901	TU00098
b1902	TU-8438
b1902	TU0-14282
b1904	TU-8399
b1905	TU0-13449
b1906	TU0-8717
