bnumber	GOTerm
b0101	GO:0008270
b0101	GO:0008657
b0102	GO:0000917
b0102	GO:0005829
b0102	GO:0032153
b0102	GO:0042802
b0102	GO:0043093
b0103	GO:0004140
b0103	GO:0005524
b0103	GO:0005737
b0103	GO:0015937
b0104	GO:0003920
b0104	GO:0005829
b0104	GO:0015951
b0104	GO:0042802
b0104	GO:0046872
b0104	GO:1902560
b0106	GO:0005886
b0106	GO:0015628
b0106	GO:0016021
b0107	GO:0005524
b0108	GO:0016021
b0108	GO:0043107
b0108	GO:0043683
b0108	GO:0044096
b0109	GO:0004514
b0109	GO:0005737
b0109	GO:0005829
b0109	GO:0009435
b0109	GO:0034213
b0109	GO:0034628
b0110	GO:0005737
b0110	GO:0008745
b0110	GO:0009253
b0110	GO:0009254
b0110	GO:0009392
b0110	GO:0046872
b0110	GO:0071555
b0111	GO:0005886
b0111	GO:0005887
b0111	GO:0046677
b0112	GO:0005302
b0112	GO:0005886
b0112	GO:0005887
b0112	GO:0015192
b0112	GO:0015196
b0112	GO:0015823
b0112	GO:0015827
b0112	GO:0015828
b0113	GO:0003677
b0113	GO:0003700
b0113	GO:0045892
b0113	GO:0045893
b0114	GO:0000287
b0114	GO:0004738
b0114	GO:0004739
b0114	GO:0005829
b0114	GO:0006096
b0114	GO:0016020
b0114	GO:0030976
b0114	GO:0042802
b0114	GO:0042803
b0114	GO:0045250
b0115	GO:0004742
b0115	GO:0005737
b0115	GO:0006086
b0115	GO:0006090
b0115	GO:0006096
b0115	GO:0016407
b0115	GO:0031405
b0115	GO:0045254
b0116	GO:0004148
b0116	GO:0005737
b0116	GO:0005829
b0116	GO:0005886
b0116	GO:0006090
b0116	GO:0006096
b0116	GO:0006103
b0116	GO:0006979
b0116	GO:0008270
b0116	GO:0015036
b0116	GO:0016020
b0116	GO:0019464
b0116	GO:0042802
b0116	GO:0045250
b0116	GO:0045454
b0116	GO:0050660
b0117	NA
b0118	GO:0003729
b0118	GO:0003730
b0118	GO:0003994
b0118	GO:0005829
b0118	GO:0006097
b0118	GO:0006099
b0118	GO:0006417
b0118	GO:0019629
b0118	GO:0046872
b0118	GO:0047456
b0118	GO:0047780
b0118	GO:0051539
b0119	NA
b0120	GO:0004014
b0120	GO:0005829
b0120	GO:0006557
b0120	GO:0008295
b0121	GO:0004766
b0121	GO:0005829
b0121	GO:0008295
b0121	GO:0010487
b0121	GO:0016768
b0121	GO:0043918
b0122	NA
b0123	GO:0004322
b0123	GO:0005507
b0123	GO:0010273
b0123	GO:0016491
b0123	GO:0016682
b0123	GO:0016722
b0123	GO:0016724
b0123	GO:0030288
b0123	GO:0042597
b0123	GO:0046688
b0124	GO:0000287
b0124	GO:0005886
b0124	GO:0008876
b0124	GO:0016021
b0124	GO:0030288
b0124	GO:0048039
b0124	GO:0070968
b0125	GO:0000287
b0125	GO:0004422
b0125	GO:0005829
b0125	GO:0006168
b0125	GO:0006178
b0125	GO:0032263
b0125	GO:0032264
b0125	GO:0046100
b0125	GO:0051289
b0125	GO:0052657
b0125	GO:0097216
b0126	GO:0004089
b0126	GO:0005829
b0126	GO:0008270
b0126	GO:0015976
b0127	GO:0005524
b0127	GO:0005886
b0127	GO:0010165
b0127	GO:0042626
b0128	GO:0005886
b0128	GO:0043190
b0128	GO:0055085
b0129	GO:0005737
b0129	GO:0009401
b0129	GO:0016021
b0129	GO:0016301
b0130	GO:0005975
b0130	GO:0016810
b0131	GO:0004068
b0131	GO:0005829
b0131	GO:0006523
b0131	GO:0015940
b0131	GO:0016540
b0132	GO:0006310
b0132	GO:1990238
b0133	GO:0004592
b0133	GO:0005524
b0133	GO:0005829
b0133	GO:0015940
b0133	GO:0042802
b0134	GO:0000287
b0134	GO:0003864
b0134	GO:0005737
b0134	GO:0005829
b0134	GO:0015940
b0134	GO:0016020
b0134	GO:0042802
b0135	GO:0006974
b0135	GO:0007155
b0135	GO:0009289
b0135	GO:0043709
b0135	GO:0043711
b0135	GO:0046677
b0136	GO:0007155
b0136	GO:0009289
b0136	GO:0043709
b0136	GO:0043711
b0137	GO:0009289
b0137	GO:0043709
b0137	GO:0043711
b0138	GO:0007155
b0138	GO:0009289
b0138	GO:0043709
b0138	GO:0043711
b0139	GO:0007155
b0139	GO:0009279
b0139	GO:0009297
b0139	GO:0015473
b0139	GO:0016021
b0139	GO:0043711
b0140	GO:0007155
b0140	GO:0030288
b0140	GO:0043711
b0140	GO:0061077
b0140	GO:0071555
b0141	GO:0007155
b0141	GO:0009289
b0141	GO:0043709
b0141	GO:0043711
b0142	GO:0000287
b0142	GO:0003848
b0142	GO:0005524
b0142	GO:0016301
b0142	GO:0046654
b0142	GO:0046656
b0143	GO:0003723
b0143	GO:0004652
b0143	GO:0005524
b0143	GO:0005737
b0143	GO:0005829
b0143	GO:0005886
b0143	GO:0006276
b0143	GO:0006378
b0143	GO:0006397
b0143	GO:0009451
b0144	GO:0002097
b0144	GO:0004818
b0144	GO:0005524
b0144	GO:0005829
b0144	GO:0006424
b0144	GO:0008270
b0145	GO:0005737
b0145	GO:0005829
b0145	GO:0006302
b0145	GO:0008270
b0145	GO:0010468
b0146	GO:0003677
b0146	GO:0006355
b0146	GO:0045893
b0147	GO:0004113
b0147	GO:0008664
b0148	GO:0003676
b0148	GO:0003724
b0148	GO:0005524
b0148	GO:0016787
b0149	GO:0005886
b0149	GO:0005887
b0149	GO:0008144
b0149	GO:0008360
b0149	GO:0008658
b0149	GO:0008955
b0149	GO:0009002
b0149	GO:0009252
b0149	GO:0009274
b0149	GO:0010165
b0149	GO:0016020
b0149	GO:0030288
b0149	GO:0046677
b0149	GO:0051518
b0149	GO:0071555
b0149	GO:0071723
b0150	GO:0005506
b0150	GO:0009279
b0150	GO:0015344
b0150	GO:0015643
b0150	GO:0016021
b0150	GO:0019904
b0150	GO:0038023
b0150	GO:0046790
b0150	GO:0055072
b0151	GO:0005524
b0151	GO:0015625
b0151	GO:0043190
b0152	GO:0006811
b0152	GO:0030288
b0152	GO:0055072
b0153	GO:0005886
b0153	GO:0005887
b0153	GO:0022857
b0153	GO:0033214
b0153	GO:0043190
b0154	GO:0005829
b0154	GO:0006779
b0154	GO:0006782
b0154	GO:0008483
b0154	GO:0030170
b0154	GO:0033014
b0154	GO:0042286
b0154	GO:0042802
b0155	GO:0005247
b0155	GO:0005886
b0155	GO:0005887
b0155	GO:0015108
b0155	GO:0015299
b0155	GO:0042802
b0155	GO:0062158
b0155	GO:1902476
b0155	GO:1902600
b0155	GO:1990451
b0156	GO:0005506
b0156	GO:0005829
b0156	GO:0009060
b0156	GO:0009061
b0156	GO:0016226
b0156	GO:0051537
b0156	GO:0051539
b0156	GO:0051604
b0156	GO:0106035
b0157	GO:0005886
b0157	GO:0016021
b0158	GO:0015889
b0158	GO:0030288
b0158	GO:0031419
b0158	GO:0042597
b0159	GO:0005829
b0159	GO:0008782
b0159	GO:0008930
b0159	GO:0019284
b0159	GO:0019509
b0159	GO:0042802
b0159	GO:0046124
b0159	GO:0110052
b0160	GO:0000287
b0160	GO:0003697
b0160	GO:0003924
b0160	GO:0006203
b0160	GO:0008832
b0160	GO:0015949
b0160	GO:0030145
b0160	GO:0042802
b0160	GO:0050897
b0161	GO:0004252
b0161	GO:0005886
b0161	GO:0006457
b0161	GO:0006508
b0161	GO:0006515
b0161	GO:0006979
b0161	GO:0008233
b0161	GO:0008236
b0161	GO:0009266
b0161	GO:0009408
b0161	GO:0030288
b0161	GO:0042802
b0161	GO:0061077
b0162	GO:0003700
b0162	GO:0045893
b0163	NA
b0164	GO:0008081
b0164	GO:0008758
b0164	GO:0009245
b0164	GO:0046872
b0166	GO:0005829
b0166	GO:0008666
b0166	GO:0009085
b0166	GO:0009089
b0166	GO:0016779
b0166	GO:0019877
b0167	GO:0006464
b0167	GO:0006808
b0167	GO:0008081
b0167	GO:0008773
b0168	GO:0005829
b0168	GO:0008198
b0168	GO:0070006
b0168	GO:0070084
b0169	GO:0000028
b0169	GO:0003735
b0169	GO:0006412
b0169	GO:0008270
b0169	GO:0022627
b0170	GO:0003746
b0170	GO:0005085
b0170	GO:0005737
b0170	GO:0005829
b0170	GO:0006414
b0170	GO:0008270
b0170	GO:0016020
b0171	GO:0005524
b0171	GO:0005829
b0171	GO:0006221
b0171	GO:0006225
b0171	GO:0033862
b0171	GO:0042802
b0171	GO:0044210
b0172	GO:0002184
b0172	GO:0005737
b0172	GO:0005829
b0172	GO:0006412
b0172	GO:0043023
b0173	GO:0019288
b0173	GO:0030145
b0173	GO:0030604
b0173	GO:0042802
b0173	GO:0051484
b0173	GO:0070402
b0174	GO:0000287
b0174	GO:0002094
b0174	GO:0005737
b0174	GO:0005829
b0174	GO:0007049
b0174	GO:0008360
b0174	GO:0008834
b0174	GO:0009252
b0174	GO:0016094
b0174	GO:0030145
b0174	GO:0043164
b0174	GO:0051301
b0174	GO:0071555
b0175	GO:0004605
b0175	GO:0005886
b0175	GO:0016021
b0175	GO:0016024
b0176	GO:0004222
b0176	GO:0005886
b0176	GO:0005887
b0176	GO:0043856
b0176	GO:0045152
b0176	GO:0046872
b0177	GO:0007155
b0177	GO:0009279
b0177	GO:0016021
b0177	GO:0043165
b0177	GO:0051205
b0177	GO:1990063
b0178	GO:0001530
b0178	GO:0005829
b0178	GO:0006457
b0178	GO:0022417
b0178	GO:0030288
b0178	GO:0032978
b0178	GO:0042802
b0178	GO:0043165
b0178	GO:0050821
b0178	GO:0051082
b0178	GO:0061077
b0179	GO:0005737
b0179	GO:0005829
b0179	GO:0009245
b0179	GO:0016410
b0179	GO:0042802
b0179	GO:0046677
b0179	GO:0103118
b0180	GO:0004317
b0180	GO:0005737
b0180	GO:0006633
b0180	GO:0008659
b0180	GO:0008693
b0180	GO:0009245
b0180	GO:0042802
b0180	GO:0047451
b0181	GO:0005737
b0181	GO:0005829
b0181	GO:0008780
b0181	GO:0009245
b0181	GO:0042802
b0182	GO:0005543
b0182	GO:0005737
b0182	GO:0008915
b0182	GO:0009245
b0182	GO:0019897
b0182	GO:0042802
b0183	GO:0003723
b0183	GO:0004523
b0183	GO:0005737
b0183	GO:0006298
b0183	GO:0030145
b0183	GO:0032299
b0183	GO:0043137
b0184	GO:0003677
b0184	GO:0003887
b0184	GO:0005737
b0184	GO:0005829
b0184	GO:0006260
b0184	GO:0044776
b0184	GO:0090305
b0185	GO:0003989
b0185	GO:0005524
b0185	GO:0005737
b0185	GO:0005829
b0185	GO:0006633
b0185	GO:0009329
b0185	GO:0016743
b0185	GO:0042759
b0185	GO:0042802
b0185	GO:2001295
b0186	GO:0005737
b0186	GO:0006554
b0186	GO:0008923
b0186	GO:0042802
b0187	GO:0046872
b0188	GO:0002136
b0188	GO:0005524
b0188	GO:0005829
b0188	GO:0006400
b0188	GO:0032267
b0188	GO:0042802
b0189	GO:0031554
b0189	GO:0031564
b0190	NA
b0191	GO:0003747
b0191	GO:0004045
b0191	GO:0005737
b0191	GO:0043022
b0191	GO:0072344
b0192	GO:0007155
b0192	GO:0009279
b0192	GO:0010810
b0192	GO:0042802
b0192	GO:1990169
b0193	GO:0005886
b0193	GO:0008234
b0194	GO:0004827
b0194	GO:0005524
b0194	GO:0005829
b0194	GO:0006433
b0194	GO:0043906
b0195	GO:0000049
b0195	GO:0030488
b0195	GO:0089715
b0196	GO:0009279
b0196	GO:0031240
b0196	GO:0031241
b0196	GO:0035556
b0196	GO:0036406
b0196	GO:0036460
b0196	GO:0070299
b0197	GO:0030288
b0197	GO:0046658
b0197	GO:0048473
b0197	GO:0055052
b0198	GO:0005886
b0198	GO:0005887
b0198	GO:0006865
b0198	GO:0015191
b0198	GO:0048473
b0198	GO:0055052
b0199	GO:0005524
b0199	GO:0008152
b0199	GO:0009276
b0199	GO:0015191
b0199	GO:0016887
b0199	GO:0033232
b0199	GO:0042626
b0199	GO:0048473
b0199	GO:0055052
b0200	GO:0000287
b0200	GO:0005829
b0200	GO:0008270
b0200	GO:0009244
b0200	GO:0034200
b0200	GO:0097171
b0207	GO:0004033
b0207	GO:0005737
b0207	GO:0019853
b0207	GO:0047681
b0207	GO:0047834
b0207	GO:0051596
b0207	GO:1990002
b0208	GO:0000976
b0208	GO:0003700
b0208	GO:0006355
b0208	GO:0010212
b0209	GO:0005737
b0210	GO:0008168
b0211	GO:0000270
b0211	GO:0005886
b0211	GO:0008932
b0211	GO:0008933
b0211	GO:0016020
b0211	GO:0016829
b0211	GO:0051353
b0211	GO:0071555
b0212	GO:0004416
b0212	GO:0008270
b0212	GO:0009408
b0212	GO:0009636
b0212	GO:0019243
b0213	GO:0008168
b0214	GO:0000287
b0214	GO:0003676
b0214	GO:0004519
b0214	GO:0004523
b0214	GO:0005737
b0214	GO:0043137
b0214	GO:0090502
b0215	GO:0003677
b0215	GO:0003887
b0215	GO:0004527
b0215	GO:0005829
b0215	GO:0008408
b0215	GO:0044776
b0215	GO:0045004
b0215	GO:0046872
b0217	GO:0005886
b0218	GO:0005886
b0218	GO:0016021
b0219	GO:0006807
b0219	GO:0050152
b0219	GO:0106008
b0220	GO:0030288
b0220	GO:0050790
b0220	GO:0060241
b0220	GO:0061077
b0221	GO:0003995
b0221	GO:0004466
b0221	GO:0005886
b0221	GO:0033539
b0221	GO:0050660
b0222	GO:0005737
b0222	GO:0005829
b0222	GO:0008270
b0222	GO:0008968
b0222	GO:0009244
b0222	GO:0042802
b0222	GO:0051289
b0222	GO:0097367
b0222	GO:2001061
b0223	GO:0006541
b0223	GO:0016740
b0224	GO:0008360
b0224	GO:0009252
b0224	GO:0016757
b0224	GO:0016787
b0224	GO:0071555
b0225	GO:0003677
b0225	GO:0003723
b0225	GO:0004521
b0225	GO:0006402
b0225	GO:0006415
b0225	GO:0016892
b0225	GO:0043022
b0225	GO:0044010
b0225	GO:0046677
b0226	GO:0000986
b0226	GO:0003677
b0226	GO:0006351
b0226	GO:0015643
b0226	GO:0044010
b0226	GO:2000143
b0227	GO:0005886
b0227	GO:0008234
b0228	GO:0000014
b0228	GO:0000405
b0228	GO:0003677
b0228	GO:0003697
b0228	GO:0004803
b0228	GO:0006310
b0228	GO:0006313
b0228	GO:0032448
