interpro
IPR011720
IPR036393
IPR002912
IPR041743
IPR001048
IPR005106
IPR001341
IPR042199
IPR018042
IPR011147
IPR027795
IPR001342
IPR019811
IPR036291
IPR013750
IPR036554
IPR006204
IPR006203
IPR000870
IPR020568
IPR014721
IPR001926
IPR000634
IPR029144
IPR037158
IPR004450
IPR036052
IPR019638
IPR005583
IPR001463
IPR013785
IPR001585
IPR004730
IPR018225
IPR036425
IPR001453
IPR008284
IPR000791
IPR025217
IPR021150
NA
IPR020240
IPR043129
IPR012725
IPR018181
IPR029048
IPR029047
IPR013126
IPR012724
IPR002939
IPR001623
IPR018253
IPR008971
IPR001305
IPR036410
IPR036869
IPR012337
IPR002559
IPR014736
IPR000021
IPR018084
IPR023171
IPR004670
IPR005119
IPR000847
IPR036388
IPR036390
IPR005063
IPR024431
IPR003220
IPR002583
IPR036510
IPR020105
IPR015864
IPR023468
IPR002606
IPR015865
IPR023465
IPR014729
IPR001412
IPR002300
IPR033708
IPR002301
IPR023585
IPR013155
IPR009080
IPR009008
IPR010663
IPR001872
IPR001179
IPR003451
IPR015910
IPR001910
IPR023186
IPR022976
IPR036452
IPR022663
IPR000846
IPR022664
IPR023940
IPR006274
IPR002474
IPR036480
IPR029062
IPR035686
IPR017926
IPR011761
IPR006275
IPR005480
IPR036897
IPR005479
IPR005483
IPR011607
IPR036914
IPR033937
IPR016185
IPR020357
IPR023446
IPR001451
IPR011004
IPR022852
IPR029045
IPR018376
IPR001753
IPR014748
IPR025110
IPR020845
IPR000873
IPR042099
IPR023456
IPR023452
IPR003673
IPR023606
IPR006089
IPR006091
IPR036250
IPR009075
IPR013786
IPR037069
IPR009100
IPR023450
IPR018093
IPR000060
IPR023449
IPR000049
IPR014730
IPR012255
IPR033948
IPR023463
IPR029035
IPR001308
IPR014731
IPR018206
IPR023461
IPR002938
IPR036188
IPR039651
IPR012206
IPR020846
IPR005828
IPR036259
IPR003680
IPR029039
IPR023948
IPR006153
IPR004771
IPR023941
IPR006036
IPR038770
IPR003148
IPR012259
IPR024072
IPR017925
IPR001796
IPR004617
IPR004843
IPR029052
IPR007474
IPR036767
IPR023065
IPR001737
IPR023165
IPR020596
IPR020598
IPR011530
IPR029063
IPR037510
IPR005255
IPR000297
IPR023058
IPR023034
IPR015391
IPR027304
IPR020889
IPR007543
IPR005653
IPR023749
IPR007791
IPR029024
IPR020103
IPR006225
IPR006224
IPR006145
IPR014001
IPR001650
IPR023949
IPR027417
IPR022737
IPR038718
IPR000330
IPR040765
IPR040766
IPR006172
IPR017964
IPR006133
IPR006134
IPR043502
IPR042087
IPR023211
IPR036397
IPR001303
IPR036409
IPR004661
IPR033748
IPR024664
IPR038583
IPR004216
IPR009015
IPR003762
IPR018485
IPR005929
IPR003313
IPR009057
IPR037923
IPR018060
IPR018062
IPR020449
IPR032818
IPR032816
IPR003593
IPR003439
IPR017871
IPR005968
IPR000515
IPR035906
IPR005947
IPR006061
IPR005967
IPR005948
IPR039424
IPR000914
IPR025370
IPR023767
IPR011701
IPR004750
IPR004431
IPR015928
IPR000573
IPR033940
IPR004430
IPR015931
IPR001030
IPR018136
IPR036008
IPR033941
IPR019818
IPR024084
IPR004429
IPR013709
IPR002034
IPR036230
IPR005671
IPR000891
IPR012570
IPR012846
IPR039368
IPR029061
IPR012000
IPR012001
IPR000399
IPR011766
IPR004789
IPR027271
IPR019455
IPR039557
IPR012781
IPR000843
IPR010982
IPR001761
IPR028082
IPR003444
IPR035644
IPR020603
IPR035642
IPR038619
IPR007159
IPR037914
IPR002903
IPR023397
IPR011922
IPR012338
IPR037532
IPR005311
IPR036138
IPR001460
IPR036565
IPR004101
IPR036615
IPR013221
IPR000713
IPR035911
IPR005761
IPR005863
IPR000715
IPR003524
IPR018480
IPR005762
IPR018365
IPR013437
IPR001182
IPR006009
IPR007235
IPR004276
IPR005758
IPR013815
IPR000291
IPR005905
IPR011095
IPR011127
IPR005548
IPR026579
IPR034746
IPR013685
IPR020823
IPR003494
IPR000158
IPR020805
IPR024757
IPR008280
IPR018316
IPR036525
IPR003008
IPR004463
IPR011334
IPR015870
IPR009502
IPR004027
IPR000185
IPR020937
IPR011115
IPR014018
IPR011130
IPR011116
IPR036266
IPR036670
IPR003561
IPR020476
IPR015797
IPR020084
IPR000086
IPR005584
IPR013088
IPR009777
IPR027462
IPR036268
IPR001977
IPR005993
IPR015875
IPR001093
IPR003004
IPR001992
IPR018076
IPR042094
IPR001482
IPR007831
IPR012902
IPR004393
IPR027277
IPR036068
IPR037128
IPR002638
IPR022412
IPR036505
IPR002502
IPR031347
IPR004841
IPR004840
IPR011711
IPR008920
IPR000524
IPR035807
IPR004660
IPR041621
IPR009014
IPR005474
IPR003016
IPR001078
IPR006256
IPR000089
IPR023213
IPR036625
IPR004167
IPR011053
IPR023753
IPR016156
IPR006258
IPR001100
IPR004099
IPR012999
IPR021728
IPR004406
IPR015933
IPR036288
IPR015929
IPR015932
IPR008249
IPR003826
IPR009165
IPR016067
IPR030374
IPR030373
IPR001045
IPR035246
IPR037163
IPR019114
IPR038432
IPR001117
IPR011706
IPR011707
IPR002355
IPR008972
IPR006311
IPR018391
IPR017511
IPR002372
IPR011047
IPR001479
IPR005904
IPR000836
IPR029057
IPR001765
IPR015892
IPR036874
IPR013525
IPR000412
IPR004701
IPR036662
IPR033887
IPR011330
IPR002509
IPR009010
IPR003190
IPR010106
IPR006842
IPR004821
IPR003721
IPR042176
IPR003700
IPR015813
IPR040442
IPR000259
IPR036937
IPR008966
IPR017014
IPR000015
IPR018030
IPR042186
IPR025949
IPR043142
IPR025885
IPR037224
IPR013783
IPR008962
IPR036316
IPR001829
IPR016148
IPR018046
IPR016147
IPR000550
IPR035907
IPR043519
IPR002646
IPR010206
IPR025866
IPR032828
IPR022380
IPR000924
IPR020058
IPR012784
IPR037187
IPR020460
IPR000962
IPR020458
IPR005224
IPR040452
IPR041465
IPR009097
IPR014051
IPR004175
IPR011545
IPR007502
IPR010225
IPR013689
IPR001264
IPR023346
IPR032730
IPR011813
IPR036950
IPR028166
IPR012910
IPR037066
IPR039423
IPR000531
IPR010916
IPR036942
IPR010917
IPR010105
IPR002491
IPR037294
IPR000522
IPR004639
IPR005814
IPR015424
IPR015422
IPR015421
IPR023861
IPR014743
IPR001807
IPR000361
IPR016092
IPR017870
IPR023063
IPR035903
IPR005115
IPR023544
IPR010049
IPR000845
IPR035994
IPR023293
IPR006261
IPR020779
IPR003607
IPR006674
IPR026875
IPR001478
IPR036034
IPR011782
IPR009003
IPR001940
IPR041522
IPR008599
IPR025736
IPR042070
IPR020911
IPR005664
IPR018357
IPR023180
IPR037133
IPR013546
IPR002934
IPR010043
IPR036005
