id	desc	pval	common_size	target_size
19515932	https://pubmed.ncbi.nlm.nih.gov/19515932	2.77e-04	3	7
16820464	https://pubmed.ncbi.nlm.nih.gov/16820464	2.93e-04	7	72
2659351	https://pubmed.ncbi.nlm.nih.gov/2659351	4.08e-04	3	8
10486141	https://pubmed.ncbi.nlm.nih.gov/10486141	4.08e-04	3	8
16484232	https://pubmed.ncbi.nlm.nih.gov/16484232	4.08e-04	3	8
11803023	https://pubmed.ncbi.nlm.nih.gov/11803023	4.08e-04	3	8
17803904	https://pubmed.ncbi.nlm.nih.gov/17803904	4.08e-04	3	8
17803902	https://pubmed.ncbi.nlm.nih.gov/17803902	4.08e-04	3	8
10648801	https://pubmed.ncbi.nlm.nih.gov/10648801	5.74e-04	3	9
9210286	https://pubmed.ncbi.nlm.nih.gov/9210286	5.74e-04	3	9
32929027	https://pubmed.ncbi.nlm.nih.gov/32929027	6.02e-04	2	2
15884941	https://pubmed.ncbi.nlm.nih.gov/15884941	6.02e-04	2	2
7013950	https://pubmed.ncbi.nlm.nih.gov/7013950	6.02e-04	2	2
383238	https://pubmed.ncbi.nlm.nih.gov/383238	6.02e-04	2	2
6751816	https://pubmed.ncbi.nlm.nih.gov/6751816	6.02e-04	2	2
11551223	https://pubmed.ncbi.nlm.nih.gov/11551223	6.02e-04	2	2
8702865	https://pubmed.ncbi.nlm.nih.gov/8702865	6.02e-04	2	2
6450867	https://pubmed.ncbi.nlm.nih.gov/6450867	6.02e-04	2	2
2844784	https://pubmed.ncbi.nlm.nih.gov/2844784	6.02e-04	2	2
1917897	https://pubmed.ncbi.nlm.nih.gov/1917897	6.02e-04	2	2
17172310	https://pubmed.ncbi.nlm.nih.gov/17172310	6.02e-04	2	2
6345511	https://pubmed.ncbi.nlm.nih.gov/6345511	6.02e-04	2	2
16782065	https://pubmed.ncbi.nlm.nih.gov/16782065	6.02e-04	2	2
17299745	https://pubmed.ncbi.nlm.nih.gov/17299745	6.02e-04	2	2
776950	https://pubmed.ncbi.nlm.nih.gov/776950	6.02e-04	2	2
17028777	https://pubmed.ncbi.nlm.nih.gov/17028777	6.02e-04	2	2
15941717	https://pubmed.ncbi.nlm.nih.gov/15941717	6.02e-04	2	2
8650159	https://pubmed.ncbi.nlm.nih.gov/8650159	6.02e-04	2	2
2698228	https://pubmed.ncbi.nlm.nih.gov/2698228	6.02e-04	2	2
2248795	https://pubmed.ncbi.nlm.nih.gov/2248795	6.02e-04	2	2
2254272	https://pubmed.ncbi.nlm.nih.gov/2254272	6.02e-04	2	2
2643106	https://pubmed.ncbi.nlm.nih.gov/2643106	6.02e-04	2	2
9714159	https://pubmed.ncbi.nlm.nih.gov/9714159	6.02e-04	2	2
9254613	https://pubmed.ncbi.nlm.nih.gov/9254613	6.02e-04	2	2
17603076	https://pubmed.ncbi.nlm.nih.gov/17603076	6.02e-04	2	2
10336386	https://pubmed.ncbi.nlm.nih.gov/10336386	6.02e-04	2	2
10325398	https://pubmed.ncbi.nlm.nih.gov/10325398	6.02e-04	2	2
5338508	https://pubmed.ncbi.nlm.nih.gov/5338508	6.02e-04	2	2
10651286	https://pubmed.ncbi.nlm.nih.gov/10651286	6.02e-04	2	2
2271528	https://pubmed.ncbi.nlm.nih.gov/2271528	6.02e-04	2	2
5333198	https://pubmed.ncbi.nlm.nih.gov/5333198	6.02e-04	2	2
8060968	https://pubmed.ncbi.nlm.nih.gov/8060968	6.02e-04	2	2
2186515	https://pubmed.ncbi.nlm.nih.gov/2186515	6.02e-04	2	2
16401065	https://pubmed.ncbi.nlm.nih.gov/16401065	6.02e-04	2	2
11352920	https://pubmed.ncbi.nlm.nih.gov/11352920	6.02e-04	2	2
1939236	https://pubmed.ncbi.nlm.nih.gov/1939236	6.02e-04	2	2
3041592	https://pubmed.ncbi.nlm.nih.gov/3041592	6.02e-04	2	2
6364131	https://pubmed.ncbi.nlm.nih.gov/6364131	6.02e-04	2	2
2271529	https://pubmed.ncbi.nlm.nih.gov/2271529	6.02e-04	2	2
9659392	https://pubmed.ncbi.nlm.nih.gov/9659392	6.02e-04	2	2
8939927	https://pubmed.ncbi.nlm.nih.gov/8939927	6.02e-04	2	2
16120448	https://pubmed.ncbi.nlm.nih.gov/16120448	6.02e-04	2	2
13897943	https://pubmed.ncbi.nlm.nih.gov/13897943	6.02e-04	2	2
10386880	https://pubmed.ncbi.nlm.nih.gov/10386880	6.02e-04	2	2
15288791	https://pubmed.ncbi.nlm.nih.gov/15288791	6.02e-04	2	2
10805770	https://pubmed.ncbi.nlm.nih.gov/10805770	6.02e-04	2	2
9626698	https://pubmed.ncbi.nlm.nih.gov/9626698	6.02e-04	2	2
1908015	https://pubmed.ncbi.nlm.nih.gov/1908015	6.02e-04	2	2
8632469	https://pubmed.ncbi.nlm.nih.gov/8632469	6.02e-04	2	2
8069226	https://pubmed.ncbi.nlm.nih.gov/8069226	6.02e-04	2	2
8069225	https://pubmed.ncbi.nlm.nih.gov/8069225	6.02e-04	2	2
14581486	https://pubmed.ncbi.nlm.nih.gov/14581486	6.02e-04	2	2
7495794	https://pubmed.ncbi.nlm.nih.gov/7495794	6.02e-04	2	2
10739247	https://pubmed.ncbi.nlm.nih.gov/10739247	6.02e-04	2	2
4926546	https://pubmed.ncbi.nlm.nih.gov/4926546	6.02e-04	2	2
11528003	https://pubmed.ncbi.nlm.nih.gov/11528003	6.02e-04	2	2
8931146	https://pubmed.ncbi.nlm.nih.gov/8931146	6.02e-04	2	2
11397099	https://pubmed.ncbi.nlm.nih.gov/11397099	6.02e-04	2	2
18823998	https://pubmed.ncbi.nlm.nih.gov/18823998	6.02e-04	2	2
3902838	https://pubmed.ncbi.nlm.nih.gov/3902838	6.02e-04	2	2
8089837	https://pubmed.ncbi.nlm.nih.gov/8089837	6.02e-04	2	2
22547808	https://pubmed.ncbi.nlm.nih.gov/22547808	6.02e-04	2	2
17725561	https://pubmed.ncbi.nlm.nih.gov/17725561	6.02e-04	2	2
8844866	https://pubmed.ncbi.nlm.nih.gov/8844866	6.02e-04	2	2
16906764	https://pubmed.ncbi.nlm.nih.gov/16906764	6.02e-04	2	2
4868539	https://pubmed.ncbi.nlm.nih.gov/4868539	6.02e-04	2	2
15014067	https://pubmed.ncbi.nlm.nih.gov/15014067	6.02e-04	2	2
15157076	https://pubmed.ncbi.nlm.nih.gov/15157076	6.02e-04	2	2
8576114	https://pubmed.ncbi.nlm.nih.gov/8576114	6.02e-04	2	2
7853393	https://pubmed.ncbi.nlm.nih.gov/7853393	6.02e-04	2	2
19828320	https://pubmed.ncbi.nlm.nih.gov/19828320	6.02e-04	2	2
15890205	https://pubmed.ncbi.nlm.nih.gov/15890205	6.02e-04	2	2
18618694	https://pubmed.ncbi.nlm.nih.gov/18618694	6.02e-04	2	2
9860853	https://pubmed.ncbi.nlm.nih.gov/9860853	6.02e-04	2	2
17004708	https://pubmed.ncbi.nlm.nih.gov/17004708	6.02e-04	2	2
7051000	https://pubmed.ncbi.nlm.nih.gov/7051000	6.02e-04	2	2
9829701	https://pubmed.ncbi.nlm.nih.gov/9829701	6.02e-04	2	2
5320387	https://pubmed.ncbi.nlm.nih.gov/5320387	6.02e-04	2	2
8026491	https://pubmed.ncbi.nlm.nih.gov/8026491	6.02e-04	2	2
10600393	https://pubmed.ncbi.nlm.nih.gov/10600393	6.02e-04	2	2
15951418	https://pubmed.ncbi.nlm.nih.gov/15951418	6.02e-04	2	2
15529744	https://pubmed.ncbi.nlm.nih.gov/15529744	6.02e-04	2	2
8154326	https://pubmed.ncbi.nlm.nih.gov/8154326	6.02e-04	2	2
8142394	https://pubmed.ncbi.nlm.nih.gov/8142394	6.02e-04	2	2
6377306	https://pubmed.ncbi.nlm.nih.gov/6377306	6.02e-04	2	2
7730350	https://pubmed.ncbi.nlm.nih.gov/7730350	6.02e-04	2	2
4868540	https://pubmed.ncbi.nlm.nih.gov/4868540	6.02e-04	2	2
10625604	https://pubmed.ncbi.nlm.nih.gov/10625604	6.02e-04	2	2
18454556	https://pubmed.ncbi.nlm.nih.gov/18454556	6.02e-04	2	2
19097895	https://pubmed.ncbi.nlm.nih.gov/19097895	6.02e-04	2	2
3058687	https://pubmed.ncbi.nlm.nih.gov/3058687	6.02e-04	2	2
6350607	https://pubmed.ncbi.nlm.nih.gov/6350607	6.02e-04	2	2
10875936	https://pubmed.ncbi.nlm.nih.gov/10875936	6.02e-04	2	2
7987218	https://pubmed.ncbi.nlm.nih.gov/7987218	6.02e-04	2	2
9037716	https://pubmed.ncbi.nlm.nih.gov/9037716	6.02e-04	2	2
12016227	https://pubmed.ncbi.nlm.nih.gov/12016227	6.02e-04	2	2
4943676	https://pubmed.ncbi.nlm.nih.gov/4943676	6.02e-04	2	2
8468295	https://pubmed.ncbi.nlm.nih.gov/8468295	6.02e-04	2	2
15157075	https://pubmed.ncbi.nlm.nih.gov/15157075	6.02e-04	2	2
11967364	https://pubmed.ncbi.nlm.nih.gov/11967364	6.02e-04	2	2
11467937	https://pubmed.ncbi.nlm.nih.gov/11467937	6.02e-04	2	2
364472	https://pubmed.ncbi.nlm.nih.gov/364472	6.02e-04	2	2
6302686	https://pubmed.ncbi.nlm.nih.gov/6302686	6.02e-04	2	2
11323717	https://pubmed.ncbi.nlm.nih.gov/11323717	6.02e-04	2	2
