GO:0044281	8.44e-25
GO:0019752	3.44e-21
GO:0043436	2.13e-20
GO:0006082	5.92e-20
GO:0032787	1.93e-17
GO:0003824	1.14e-15
GO:0044237	1.20e-14
GO:0008152	1.85e-14
GO:0009260	7.02e-14
GO:0046390	1.48e-13
GO:0009259	2.33e-13
GO:0019380	5.70e-13
GO:0018962	5.70e-13
GO:0019693	6.60e-13
GO:0009165	3.76e-12
GO:1901293	3.76e-12
GO:0046395	5.87e-12
GO:0016054	1.06e-11
GO:0009117	2.72e-11
GO:0006753	4.31e-11
GO:0016491	9.19e-11
GO:0044282	9.77e-11
GO:0009220	1.09e-10
GO:0019856	1.09e-10
GO:0071704	1.54e-10
GO:0006221	1.67e-10
GO:0009218	5.51e-10
GO:0006220	7.58e-10
GO:0042178	1.47e-09
GO:0003674	1.83e-09
GO:0046112	2.09e-09
GO:0005622	3.23e-09
GO:1901564	3.30e-09
GO:0044205	3.68e-09
GO:0005737	4.57e-09
GO:0006805	4.83e-09
GO:0071466	4.83e-09
GO:0042537	4.83e-09
GO:0009410	6.34e-09
GO:0072330	7.98e-09
GO:0009068	9.11e-09
GO:0006207	1.62e-08
GO:0072528	1.73e-08
GO:1901575	1.78e-08
GO:0090407	1.82e-08
GO:0006222	3.00e-08
GO:0009174	3.00e-08
GO:0009056	3.28e-08
GO:0006099	5.35e-08
GO:0055086	5.71e-08
GO:0006520	6.10e-08
GO:0009063	7.98e-08
GO:0009060	8.42e-08
GO:0046049	8.71e-08
GO:0009173	8.71e-08
GO:0006206	8.87e-08
GO:0043167	9.39e-08
GO:0009987	9.97e-08
GO:0005829	1.28e-07
GO:0009156	1.78e-07
GO:0006554	1.91e-07
GO:0019637	2.63e-07
GO:0015980	2.64e-07
GO:0009161	2.73e-07
GO:0044248	2.75e-07
GO:0009130	3.19e-07
GO:0045333	4.37e-07
GO:0009124	4.97e-07
GO:0009129	6.57e-07
GO:0072329	6.81e-07
GO:0044283	7.17e-07
GO:0009123	7.21e-07
GO:0008695	9.09e-07
GO:0006091	1.01e-06
