PMID
16738553
9278503
16397293
16511004
11488591
2118386
15613473
7568050
17639604
16630630
8611590
17379704
18304323
15470461
15361881
14727089
10049393
19556744
17455763
12959196
14527658
11917006
12886937
21873635
17384304
12754220
11260463
8041620
11929533
16738554
16120447
15919996
29101379
12142406
19402753
15690043
24561554
15455157
14641908
12581638
11259434
10089372
10075916
9721306
9466267
11092866
10206709
16205910
13129959
12583917
9851041
10446207
8931336
8550508
12029041
9044285
12818201
12480890
9210473
8564363
19210615
18710431
27510400
19121005
16251288
8112463
3521530
3521529
1729236
405375
17384195
9199454
4871206
780345
18535144
10428950
16381862
23867454
9321663
12427942
8871555
12218021
2549050
1938888
2005134
1544582
7686882
11763972
8265370
24169576
6198438
24214977
8265357
15044727
12627170
12368244
17309111
11574054
20952389
15550566
18519731
2579060
16849790
11006127
10529408
9928150
9299522
9230046
9230045
9169023
8958105
8958076
8476416
8282732
8263924
8119980
8113229
8049238
8047016
7893648
7041905
7028124
7011387
6764538
6396297
6357281
6088667
5000448
4898223
4584395
3910645
3900058
3516219
3324966
3300502
3289541
3142474
3050975
3003513
2853974
2184840
2043125
1897995
1482385
792395
773371
339956
240429
13846
10995
1021
3893216
3091019
2987841
6251457
12838411
3541901
15995204
15104539
16549663
9852003
15852340
7610040
16858726
15911532
12782623
12455612
11173491
2844729
2542226
2153660
15642731
1648777
8277944
2168385
17400245
24140104
8905232
9298646
18092946
26847092
25299745
23344958
19458082
19161842
16996291
16957732
16820694
15654875
14257598
14004272
13992679
13978492
13782415
11586905
10943897
10446370
9242986
8932710
8663115
8626292
8557629
8497196
7966309
7758932
7651348
6989808
6338477
4941574
4867942
4573984
2992951
329098
320007
25757888
19627501
18337246
16096836
14617186
11260472
10762241
9695924
8809756
7649446
7531807
6207170
4570468
320188
18606734
17242308
16682442
15885870
10594833
4358625
4105037
2459106
2417233
1691434
1091648
8422961
7519147
1920421
19617368
14654705
7732015
19906695
19215777
7509797
12665241
17447862
10844684
16806266
7534403
1400219
17187058
11948193
15503145
9604894
1886618
1355086
19965770
16707089
16460018
15066985
11883946
9668099
4942182
4901473
4868901
4154089
3040739
10542197
4154091
23582331
22841294
18156466
10893421
11157970
7678242
3040734
12518017
15952903
21697552
24627523
16606699
1355089
11817571
1246353
14702328
9387241
17222132
23056305
30352934
19854894
16503658
1846145
1840580
1335942
2155230
8388873
10781534
11479697
11867724
11918818
10506196
9426138
8885403
8587504
7860611
6985897
4597451
4389388
368067
355254
28326
18296637
4591941
240817
4914567
825019
15808744
16083981
8509334
10931922
10652088
8505303
10747959
3520484
14592990
20023034
31283204
10913105
22092684
6374031
388955
338862
28337759
22179612
19838305
19213732
17055101
16000817
15827611
11388466
11055390
10993149
10052138
5332668
3309158
3062311
2125278
3329675
16621832
10200310
8663055
8106505
3290198
17951385
17224606
12883870
6341507
6302202
2457575
16000837
8506346
2960675
8774726
2203727
2201776
16937252
8740179
17543954
18852508
12107143
17012394
3062312
15299567
13898172
11054289
10821675
17709419
17159144
7582972
6321453
4323967
2661535
6214544
4928018
3325779
2834341
2553671
15123798
2664711
8676381
8515438
30782633
27282389
25267629
23813676
22322964
32985973
32572278
28691662
21454485
31113901
9209051
1459951
25525882
19136591
18192383
17185552
16740933
16166540
15375134
