organism,id1,id2,coexpression
511145,b0002,b2779,56
511145,b0002,b3064,59
511145,b0002,b2268,58
511145,b0002,b2323,114
511145,b0002,b0003,922
511145,b0002,b2329,151
511145,b0002,b2608,85
511145,b0002,b3639,110
511145,b0002,b1727,56
511145,b0002,b2762,56
511145,b0002,b2160,59
511145,b0002,b0095,57
511145,b0002,b2584,57
511145,b0002,b3454,108
511145,b0002,b2620,53
511145,b0002,b3053,57
511145,b0002,b3671,163
511145,b0002,b3770,171
511145,b0002,b1637,107
511145,b0002,b1676,53
511145,b0002,b2370,55
511145,b0002,b1603,129
511145,b0002,b3314,168
511145,b0002,b3985,72
511145,b0002,b2599,150
511145,b0002,b1198,58
511145,b0002,b2514,82
511145,b0002,b3736,96
511145,b0002,b1190,58
511145,b0002,b3844,56
511145,b0002,b3870,99
511145,b0002,b3197,53
511145,b0002,b2465,50
511145,b0002,b1113,54
511145,b0002,b1876,73
511145,b0002,b3859,55
511145,b0002,b0073,226
511145,b0002,b4019,102
511145,b0002,b3865,54
511145,b0002,b0437,57
511145,b0002,b4298,129
511145,b0002,b0074,159
511145,b0002,b2024,123
511145,b0002,b2764,57
511145,b0002,b1211,58
511145,b0002,b0268,129
511145,b0002,b0930,74
511145,b0002,b1092,57
511145,b0002,b0639,54
511145,b0002,b1337,59
511145,b0002,b0908,359
511145,b0002,b1602,138
511145,b0002,b3967,73
511145,b0002,b3187,55
511145,b0002,b2060,56
511145,b0002,b2951,72
511145,b0002,b2023,123
511145,b0002,b3987,57
511145,b0002,b2786,55
511145,b0002,b2518,69
511145,b0002,b2607,99
511145,b0002,b3208,57
511145,b0002,b2315,59
511145,b0002,b1262,167
511145,b0002,b2177,106
511145,b0002,b2580,59
511145,b0002,b0033,116
511145,b0002,b0911,103
511145,b0002,b2114,124
511145,b0002,b0304,58
511145,b0002,b4214,59
511145,b0002,b0047,56
511145,b0002,b3456,100
511145,b0002,b0185,105
511145,b0002,b0116,58
511145,b0002,b2499,115
511145,b0002,b2319,407
511145,b0002,b2551,109
511145,b0002,b1761,201
511145,b0002,b2763,58
511145,b0002,b2022,121
511145,b0002,b0048,57
511145,b0002,b2827,57
511145,b0002,b0890,90
511145,b0002,b3213,139
511145,b0003,b3670,293
511145,b0003,b3300,98
511145,b0003,b2058,54
511145,b0003,b1761,160
511145,b0003,b2499,85
511145,b0003,b2319,607
511145,b0003,b2551,113
511145,b0003,b2022,68
511145,b0003,b3008,108
511145,b0003,b2255,109
511145,b0003,b2114,59
511145,b0003,b3376,108
511145,b0003,b3456,85
511145,b0003,b1262,59
511145,b0003,b0945,56
511145,b0003,b2373,138
511145,b0003,b0033,86
511145,b0003,b4243,57
511145,b0003,b3455,108
511145,b0003,b3359,59
511145,b0003,b0161,56
511145,b0003,b1851,109
511145,b0003,b0149,57
511145,b0003,b1602,154
511145,b0003,b3210,56
511145,b0003,b3730,54
511145,b0003,b3433,673
511145,b0003,b0386,76
511145,b0003,b0449,53
511145,b0003,b3958,55
511145,b0003,b0930,320
511145,b0003,b3177,59
511145,b0003,b1713,334
511145,b0003,b0754,79
511145,b0003,b0908,223
511145,b0003,b4471,49
511145,b0003,b4298,82
511145,b0003,b0074,100
511145,b0003,b2024,125
511145,b0003,b1211,58
511145,b0003,b0268,82
511145,b0003,b3234,56
511145,b0003,b3661,108
511145,b0003,b1261,272
511145,b0003,b3117,122
511145,b0003,b0004,986
511145,b0003,b1814,49
511145,b0003,b3073,59
511145,b0003,b0871,138
511145,b0003,b4019,107
511145,b0003,b2385,54
511145,b0003,b4388,56
511145,b0003,b3939,108
511145,b0003,b3733,132
511145,b0003,b0073,190
511145,b0003,b1876,59
511145,b0003,b2797,49
511145,b0003,b3734,235
511145,b0003,b0766,56
511145,b0003,b3736,92
